Sample ID,Wet soil mass (g),Extract volume (ml),Incubation time (minutes),Incubation temperature (oC),Date soil sample frozen,Soil moisture,Dry soil mass (g)
1-137-HB,0.8675,42.5,180,25,29/09/2025,,
2-138-HB,1.6088,41.5,180,25,29/09/2025,,
4-130-HB,1.7264,42.5,180,25,29/09/2025,,
8-133-HB,1.7067,43.5,180,25,29/09/2025,,
9-134-HB,2.406,42.5,180,25,29/09/2025,,
10-129-HH,2.242,44.5,180,25,29/09/2025,,
12-141-HH,2.0082,35.0,180,25,29/09/2025,,
13-127-HH,2.1632,43.5,180,25,29/09/2025,,
14-150-HH,2.4196,42.5,180,25,29/09/2025,,
15-154-GB,2.6767,44.5,180,25,29/09/2025,,
17-166-GB,2.6738,43.0,180,25,29/09/2025,,
19-147-HH,1.9824,42.5,180,25,29/09/2025,,
20-177-GB,1.9187,42.5,180,25,29/09/2025,,
22-165-GG,2.4516,43.0,180,25,29/09/2025,,
23-146-HH,1.8446,42.5,180,25,29/09/2025,,
24-169-GB,2.4633,43.0,180,25,29/09/2025,,
25-174-GB,2.1891,44.5,180,25,29/09/2025,,
27-171-GB,2.1369,44.0,180,25,29/09/2025,,
28-176-GB,2.3932,42.5,180,25,29/09/2025,,
29-148-HB,2.3811,44.0,180,25,29/09/2025,,
30-155-GG,2.4538,44.0,180,25,29/09/2025,,
32-123-HB,2.3278,44.0,180,25,29/09/2025,,
34-163-GG,2.6923,43.5,180,25,29/09/2025,,
35-182-GG,2.4305,43.0,180,25,29/09/2025,,
39-173-GG,3.0343,43.0,180,25,29/09/2025,,
43-180-GG,2.0471,43.0,180,25,29/09/2025,,
46-126-HH,2.1837,42.5,180,25,29/09/2025,,
51-132-HH,2.301,43.0,180,25,29/09/2025,,
56-179-GG,2.6425,43.0,180,25,29/09/2025,,
57-152-HB,2.6925,43.5,180,25,29/09/2025,,
60-168-GB,2.7795,43.5,180,25,29/09/2025,,
1-137-HB-M,1.7641,45.0,180,25,14/11/2025,,
2-138-HB-M,1.9223,44.0,180,25,14/11/2025,,
3-135-HH-M,1.4213,43.0,180,25,14/11/2025,,
4-130-HB-M,1.6033,42.5,180,25,13/11/2025,,
5-139-HH-M,1.7491,42.5,180,25,14/11/2025,,
6-125-HH-M,1.7201,43.0,180,25,14/11/2025,,
7-136-HH-M,1.5062,43.5,180,25,14/11/2025,,
8-133-HB-M,1.4082,43.5,180,25,13/11/2025,,
9-134-HB-M,1.5912,44.0,180,25,14/11/2025,,
10-129-HH-M,1.5463,44.5,180,25,14/11/2025,,
11-142-HH-M,1.6682,42.5,180,25,14/11/2025,,
12-141-HH-M,1.2148,44.5,180,25,14/11/2025,,
13-127-HH-M,1.5155,44.5,180,25,13/11/2025,,
14-150-HH-M,1.5379,42.0,180,25,13/11/2025,,
15-154-GB-M,1.7909,44.0,180,25,14/11/2025,,
16-128-HH-M,1.4700,45.0,180,25,14/11/2025,,
17-166-GB-M,1.5084,44.0,180,25,14/11/2025,,
18-167-GB-M,1.7687,44.0,180,25,14/11/2025,,
19-147-HH-M,1.6789,43.5,180,25,14/11/2025,,
20-177-GB-M,1.9141,42.5,180,25,14/11/2025,,
21-183-GG-M,1.2783,43.5,180,25,13/11/2025,,
22-165-GG-M,2.0050,44.0,180,25,14/11/2025,,
23-146-HH-M,1.4865,41.0,180,25,14/11/2025,,
24-169-GB-M,1.1473,44.0,180,25,13/11/2025,,
25-174-GB-M,1.6166,44.0,180,25,14/11/2025,,
26-159-GB-M,2.0361,41.5,180,25,14/11/2025,,
27-171-GB-M,1.4562,43.0,180,25,13/11/2025,,
28-176-GB-M,1.6914,44.5,180,25,14/11/2025,,
29-148-HB-M,1.7869,42.5,180,25,14/11/2025,,
30-155-GG-M,1.8851,43.0,180,25,14/11/2025,,
32-123-HB-M,1.5708,43.5,180,25,14/11/2025,,
33-170-GB-M,1.6929,44.0,180,25,14/11/2025,,
34-163-GG-M,1.8492,44.5,180,25,14/11/2025,,
35-182-GG-M,2.0350,44.0,180,25,14/11/2025,,
36-178-GG-M,1.3780,44.0,180,25,14/11/2025,,
37-181-GG-M,1.8226,42.5,180,25,14/11/2025,,
38-156-GB-M,1.6428,43.5,180,25,14/11/2025,,
39-173-GG-M,1.7808,43.5,180,25,14/11/2025,,
40-158-GB-M,1.9730,42.0,180,25,14/11/2025,,
41-157-GG-M,1.6387,43.5,180,25,14/11/2025,,
42-144-HB-M,1.5446,42.5,180,25,14/11/2025,,
43-180-GG-M,1.8562,42.5,180,25,14/11/2025,,
44-153-HH-M,1.6227,42.5,180,25,14/11/2025,,
45-161-GB-M,1.4448,43.0,180,25,14/11/2025,,
46-126-HH-M,1.3008,43.0,180,25,14/11/2025,,
47-145-HB-M,2.0876,43.5,180,25,14/11/2025,,
48-131-HB-M,1.5875,42.5,180,25,14/11/2025,,
49-140-HB-M,1.8457,42.5,180,25,13/11/2025,,
50-160-GG-M,2.1282,43.0,180,25,14/11/2025,,
51-132-HH-M,1.8553,44.0,180,25,14/11/2025,,
52-151-HB-M,2.0378,44.0,180,25,14/11/2025,,
53-149-HB-M,1.3088,44.0,180,25,14/11/2025,,
54-164-GB-M,1.9065,42.5,180,25,14/11/2025,,
55-124-HB-M,1.7527,43.0,180,25,14/11/2025,,
56-179-GG-M,1.5108,42.0,180,25,13/11/2025,,
57-152-HB-M,1.7624,43.0,180,25,14/11/2025,,
58-162-GG-M,2.1172,44.0,180,25,14/11/2025,,
59-172-GG-M,2.0382,42.5,180,25,14/11/2025,,
60-168-GB-M,1.5136,44.5,180,25,14/11/2025,,
