Sample ID,Wet soil mass (g),Extract volume (ml),Incubation time (hours),Incubation temperature (oC),Date soil sample frozen,Soil moisture (% wet mass),Dry soil mass (g),Phosphate buffer volume added to dialysis tubes (microliters),Volume sample added to microplate well (microliters),Initial extract volume (microliters)
1-137-HB,0.8675,42.5,3,25,29/09/2025,57.76566757,0.366382834,10000,50,42500
2-138-HB,1.6088,41.5,3,25,29/09/2025,59.29648241,0.654838191,10000,50,41500
4-130-HB,1.7264,42.5,3,25,29/09/2025,76.50793651,0.405566984,10000,50,42500
8-133-HB,1.7067,43.5,3,25,29/09/2025,81.1965812,0.320917949,10000,50,43500
9-134-HB,2.406,42.5,3,25,29/09/2025,61.07954545,0.936426136,10000,50,42500
10-129-HH,2.242,44.5,3,25,29/09/2025,79.94505495,0.449631868,10000,50,44500
12-141-HH,2.0082,35,3,25,29/09/2025,77.11864407,0.45950339,10000,50,35000
13-127-HH,2.1632,43.5,3,25,29/09/2025,85.84070796,0.306293805,10000,50,43500
14-150-HH,2.4196,42.5,3,25,29/09/2025,75.79617834,0.585635669,10000,50,42500
15-154-GB,2.6767,44.5,3,25,29/09/2025,38.53904282,1.645125441,10000,50,44500
17-166-GB,2.6738,43,3,25,29/09/2025,37.97752809,1.658356854,10000,50,43000
19-147-HH,1.9824,42.5,3,25,29/09/2025,79.03225806,0.415664516,10000,50,42500
20-177-GB,1.9187,42.5,3,25,29/09/2025,62.72965879,0.715106037,10000,50,42500
22-165-GG,2.4516,43,3,25,29/09/2025,68.45637584,0.77332349,10000,50,43000
23-146-HH,1.8446,42.5,3,25,29/09/2025,76.62721893,0.43113432,10000,50,42500
24-169-GB,2.4633,43,3,25,29/09/2025,40.10282776,1.475447044,10000,50,43000
25-174-GB,2.1891,44.5,3,25,29/09/2025,48.97360704,1.117018768,10000,50,44500
27-171-GB,2.1369,44,3,25,29/09/2025,66.27906977,0.720582558,10000,50,44000
28-176-GB,2.3932,42.5,3,25,29/09/2025,42.1286031,1.384978271,10000,50,42500
29-148-HB,2.3811,44,3,25,29/09/2025,59.83606557,0.956343443,10000,50,44000
30-155-GG,2.4538,44,3,25,29/09/2025,56.22222222,1.074219111,10000,50,44000
32-123-HB,2.3278,44,3,25,29/09/2025,42.51336898,1.338173797,10000,50,44000
34-163-GG,2.6923,43.5,3,25,29/09/2025,47.46987952,1.414268434,10000,50,43500
35-182-GG,2.4305,43,3,25,29/09/2025,72.26463104,0.674108143,10000,50,43000
39-173-GG,3.0343,43,3,25,29/09/2025,42.56410256,1.742777436,10000,50,43000
43-180-GG,2.0471,43,3,25,29/09/2025,78.08564232,0.448608816,10000,50,43000
46-126-HH,2.1837,42.5,3,25,29/09/2025,78.93175074,0.460067359,10000,50,42500
51-132-HH,2.301,43,3,25,29/09/2025,82.67045455,0.398752841,10000,50,43000
56-179-GG,2.6425,43,3,25,29/09/2025,66.48044693,0.88575419,10000,50,43000
57-152-HB,2.6925,43.5,3,25,29/09/2025,51.63398693,1.302254902,10000,50,43500
60-168-GB,2.7795,43.5,3,25,29/09/2025,48.24797844,1.438447439,10000,50,43500
1-137-HB-M,1.7641,45,3,25,14/11/2025,53.40718411,0.821943865,10000,50,45000
2-138-HB-M,1.9223,44,3,25,14/11/2025,54.09313389,0.882467687,10000,50,44000
3-135-HH-M,1.4213,43,3,25,14/11/2025,73.73433735,0.373313863,10000,50,43000
4-130-HB-M,1.6033,42.5,3,25,13/11/2025,71.25223076,0.460912984,10000,50,42500
5-139-HH-M,1.7491,42.5,3,25,14/11/2025,71.77656281,0.49365614,10000,50,42500
6-125-HH-M,1.7201,43,3,25,14/11/2025,79.84766885,0.346640248,10000,50,43000
7-136-HH-M,1.5062,43.5,3,25,14/11/2025,73.38545593,0.400868263,10000,50,43500
8-133-HB-M,1.4082,43.5,3,25,13/11/2025,80.07016397,0.280651951,10000,50,43500
9-134-HB-M,1.5912,44,3,25,14/11/2025,56.20503398,0.696865499,10000,50,44000
10-129-HH-M,1.5463,44.5,3,25,14/11/2025,77.24050449,0.351930079,10000,50,44500
11-142-HH-M,1.6682,42.5,3,25,14/11/2025,80.48236705,0.325593153,10000,50,42500
12-141-HH-M,1.2148,44.5,3,25,14/11/2025,75.62752667,0.296076806,10000,50,44500
13-127-HH-M,1.5155,44.5,3,25,13/11/2025,83.46774836,0.250546274,10000,50,44500
14-150-HH-M,1.5379,42,3,25,13/11/2025,74.2285832,0.396338619,10000,50,42000
15-154-GB-M,1.7909,44,3,25,14/11/2025,29.63909117,1.260093516,10000,50,44000
16-128-HH-M,1.47,45,3,25,14/11/2025,76.68470772,0.342734796,10000,50,45000
17-166-GB-M,1.5084,44,3,25,14/11/2025,34.06548633,0.994556204,10000,50,44000
18-167-GB-M,1.7687,44,3,25,14/11/2025,44.3935354,0.983511539,10000,50,44000
19-147-HH-M,1.6789,43.5,3,25,14/11/2025,75.45158132,0.412143401,10000,50,43500
20-177-GB-M,1.9141,42.5,3,25,14/11/2025,60.34777067,0.758983322,10000,50,42500
21-183-GG-M,1.2783,43.5,3,25,13/11/2025,62.93998196,0.473738211,10000,50,43500
22-165-GG-M,2.005,44,3,25,14/11/2025,62.92515145,0.743350713,10000,50,44000
23-146-HH-M,1.4865,41,3,25,14/11/2025,74.44208626,0.379918388,10000,50,41000
24-169-GB-M,1.1473,44,3,25,13/11/2025,35.99136416,0.734371079,10000,50,44000
25-174-GB-M,1.6166,44,3,25,14/11/2025,45.51898119,0.88074015,10000,50,44000
26-159-GB-M,2.0361,41.5,3,25,14/11/2025,56.53256016,0.885040543,10000,50,41500
27-171-GB-M,1.4562,43,3,25,13/11/2025,63.81618832,0.526908666,10000,50,43000
28-176-GB-M,1.6914,44.5,3,25,14/11/2025,37.47951599,1.057471467,10000,50,44500
29-148-HB-M,1.7869,42.5,3,25,14/11/2025,57.11638821,0.766287259,10000,50,42500
30-155-GG-M,1.8851,43,3,25,14/11/2025,52.83539601,0.88909995,10000,50,43000
32-123-HB-M,1.5708,43.5,3,25,14/11/2025,38.45842336,0.966695086,10000,50,43500
33-170-GB-M,1.6929,44,3,25,14/11/2025,44.15912855,0.945330113,10000,50,44000
34-163-GG-M,1.8492,44.5,3,25,14/11/2025,42.65824566,1.060363721,10000,50,44500
35-182-GG-M,2.035,44,3,25,14/11/2025,70.04837524,0.609515564,10000,50,44000
36-178-GG-M,1.378,44,3,25,14/11/2025,32.93150053,0.924203923,10000,50,44000
37-181-GG-M,1.8226,42.5,3,25,14/11/2025,43.07550564,1.037505834,10000,50,42500
38-156-GB-M,1.6428,43.5,3,25,14/11/2025,37.73415748,1.022903261,10000,50,43500
39-173-GG-M,1.7808,43.5,3,25,14/11/2025,39.18325949,1.083024515,10000,50,43500
40-158-GB-M,1.973,42,3,25,14/11/2025,44.17444242,1.101438251,10000,50,42000
41-157-GG-M,1.6387,43.5,3,25,14/11/2025,75.04138243,0.408996866,10000,50,43500
42-144-HB-M,1.5446,42.5,3,25,14/11/2025,55.91932476,0.68087011,10000,50,42500
43-180-GG-M,1.8562,42.5,3,25,14/11/2025,76.360175,0.438802432,10000,50,42500
44-153-HH-M,1.6227,42.5,3,25,14/11/2025,79.66117479,0.330038117,10000,50,42500
45-161-GB-M,1.4448,43,3,25,14/11/2025,34.73250217,0.942984809,10000,50,43000
46-126-HH-M,1.3008,43,3,25,14/11/2025,76.88459624,0.300685172,10000,50,43000
47-145-HB-M,2.0876,43.5,3,25,14/11/2025,56.09374061,0.916587071,10000,50,43500
48-131-HB-M,1.5875,42.5,3,25,14/11/2025,57.84231846,0.669253194,10000,50,42500
49-140-HB-M,1.8457,42.5,3,25,13/11/2025,61.66110858,0.707620919,10000,50,42500
50-160-GG-M,2.1282,43,3,25,14/11/2025,32.07164439,1.445651264,10000,50,43000
51-132-HH-M,1.8553,44,3,25,14/11/2025,80.42333447,0.363205876,10000,50,44000
52-151-HB-M,2.0378,44,3,25,14/11/2025,42.08804285,1.180129863,10000,50,44000
53-149-HB-M,1.3088,44,3,25,14/11/2025,75.57496969,0.319674797,10000,50,44000
54-164-GB-M,1.9065,42.5,3,25,14/11/2025,49.48222592,0.963121363,10000,50,42500
55-124-HB-M,1.7527,43,3,25,14/11/2025,52.88365311,0.825808212,10000,50,43000
56-179-GG-M,1.5108,42,3,25,13/11/2025,64.49642354,0.536388033,10000,50,42000
57-152-HB-M,1.7624,43,3,25,14/11/2025,45.19053936,0.965961934,10000,50,43000
58-162-GG-M,2.1172,44,3,25,14/11/2025,39.4827553,1.281271105,10000,50,44000
59-172-GG-M,2.0382,42.5,3,25,14/11/2025,37.99462814,1.263793489,10000,50,42500
60-168-GB-M,1.5136,44.5,3,25,14/11/2025,40.52148437,0.900266813,10000,50,44500
