Sample ID,Mesocosm,waypoint,Habitat,Vegetation,os grid reference,elevation (m),date,veg cover species,veg cover species,veg cover species,veg cover species,veg cover species,LatitudeN,LongitudeE,Bracken
1-137-HB,1,137,Heathland,Bracken,NY4980914939,414,24/09/2025,myrtilus,,,,,54.527234,-2.7770252,Present
2-138-HB,2,138,Heathland,Bracken,NY4986314917,408,24/09/2025,moss,,,,,54.527041,-2.7761871,Present
3-135-HH,3,135,Heathland,Heather,NY4971815004,415,24/09/2025,moss,,,,,54.527809,-2.7784422,Absent
4-130-HB,4,130,Heathland,Bracken,NY4980714863,413,24/09/2025,grass,moss,,,,54.526551,-2.7770431,Present
5-139-HH,5,139,Heathland,Heather,NY4992314936,413,24/09/2025,moss,,,,,54.527218,-2.7752634,Absent
6-125-HH,6,125,Heathland,Heather,NY5000914786,405,24/09/2025,moss,,,,,54.525879,-2.7739092,Absent
7-136-HH,7,136,Heathland,Heather,NY4978214973,417,24/09/2025,moss,,,,,54.527537,-2.7774481,Absent
8-133-HB,8,133,Heathland,Bracken,NY4971314953,421,24/09/2025,grass,,,,,54.52735,-2.7785107,Present
9-134-HB,9,134,Heathland,Bracken,NY4965515004,431,24/09/2025,moss,,,,,54.527802,-2.7794155,Present
10-129-HH,10,129,Heathland,Heather,NY4982414790,409,24/09/2025,myrtilus,moss,,,,54.525896,-2.776768,Absent
11-142-HH,11,142,Heathland,Heather,NY5004414903,416,24/09/2025,moss,myrtilus,,,,54.526933,-2.7733884,Absent
12-141-HH,12,141,Heathland,Heather,NY5003114982,411,24/09/2025,grass,moss,myrtilus,,,54.527642,-2.7736026,Absent
13-127-HH,13,127,Heathland,Heather,NY4992214797,403,24/09/2025,grass,,,,,54.525969,-2.7752552,Absent
14-150-HH,14,150,Heathland,Heather,NY5040715160,390,25/09/2025,myrtilus,moss,,,,54.529279,-2.7678235,Absent
15-154-GB,15,154,Grassland,Bracken,NY5034714832,384,25/09/2025,grass,ranunculus,,,,54.526325,-2.7686952,Present
16-128-HH,16,128,Heathland,Heather,NY4987714738,408,24/09/2025,myrtilus,moss,,,,54.525434,-2.7759403,Absent
17-166-GB,17,166,Grassland,Bracken,NY5062614884,343,25/09/2025,grass,,,,,54.52682,-2.7643935,Present
18-167-GB,18,167,Grassland,Bracken,NY5066514897,331,25/09/2025,ranunculus,grass,,,,54.526941,-2.7637932,Present
