VC:2f90039 BD:Jan 16 2014 SN:LGR-14-0071
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  01/01/2002 00:03:21.951,   2.107475e+00,   0.000000e+00,   1.169907e+04,   0.000000e+00,   7.322282e+02,   0.000000e+00,   2.132423e+00,   0.000000e+00,   7.408960e+02,   0.000000e+00,   1.407857e+02,   0.000000e+00,   1.749845e+01,   0.000000e+00,   2.003737e+01,   0.000000e+00,   1.034138e+01,   0.000000e+00,   1.129397e+01,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 00:03:22.928,   2.108271e+00,   0.000000e+00,   1.170099e+04,   0.000000e+00,   7.307316e+02,   0.000000e+00,   2.133232e+00,   0.000000e+00,   7.393831e+02,   0.000000e+00,   1.408080e+02,   0.000000e+00,   1.749440e+01,   0.000000e+00,   2.004278e+01,   0.000000e+00,   1.034174e+01,   0.000000e+00,   1.129462e+01,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 00:03:23.904,   2.105172e+00,   0.000000e+00,   1.175837e+04,   0.000000e+00,   7.293837e+02,   0.000000e+00,   2.130220e+00,   0.000000e+00,   7.380621e+02,   0.000000e+00,   1.408448e+02,   0.000000e+00,   1.749412e+01,   0.000000e+00,   2.004231e+01,   0.000000e+00,   1.034098e+01,   0.000000e+00,   1.129126e+01,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 00:03:25.113,   2.104481e+00,   0.000000e+00,   1.164289e+04,   0.000000e+00,   7.275496e+02,   0.000000e+00,   2.129272e+00,   0.000000e+00,   7.361202e+02,   0.000000e+00,   1.408308e+02,   0.000000e+00,   1.749600e+01,   0.000000e+00,   2.005084e+01,   0.000000e+00,   1.033801e+01,   0.000000e+00,   1.129242e+01,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 00:03:25.864,   2.102736e+00,   0.000000e+00,   1.163975e+04,   0.000000e+00,   7.271054e+02,   0.000000e+00,   2.127499e+00,   0.000000e+00,   7.356684e+02,   0.000000e+00,   1.408382e+02,   0.000000e+00,   1.749509e+01,   0.000000e+00,   2.005017e+01,   0.000000e+00,   1.034413e+01,   0.000000e+00,   1.128637e+01,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 00:03:26.841,   2.100288e+00,   0.000000e+00,   1.178958e+04,   0.000000e+00,   7.262149e+02,   0.000000e+00,   2.125345e+00,   0.000000e+00,   7.348788e+02,   0.000000e+00,   1.407725e+02,   0.000000e+00,   1.749318e+01,   0.000000e+00,   2.005073e+01,   0.000000e+00,   1.034336e+01,   0.000000e+00,   1.128932e+01,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 00:03:27.818,   2.091925e+00,   0.000000e+00,   1.166962e+04,   0.000000e+00,   7.242158e+02,   0.000000e+00,   2.116626e+00,   0.000000e+00,   7.327669e+02,   0.000000e+00,   1.407733e+02,   0.000000e+00,   1.749346e+01,   0.000000e+00,   2.005718e+01,   0.000000e+00,   1.034202e+01,   0.000000e+00,   1.129252e+01,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 00:03:28.795,   2.103605e+00,   0.000000e+00,   1.176976e+04,   0.000000e+00,   7.245589e+02,   0.000000e+00,   2.128658e+00,   0.000000e+00,   7.331883e+02,   0.000000e+00,   1.407384e+02,   0.000000e+00,   1.749449e+01,   0.000000e+00,   2.005187e+01,   0.000000e+00,   1.033108e+01,   0.000000e+00,   1.129265e+01,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 00:03:29.771,   2.104105e+00,   0.000000e+00,   1.183206e+04,   0.000000e+00,   7.251455e+02,   0.000000e+00,   2.129299e+00,   0.000000e+00,   7.338282e+02,   0.000000e+00,   1.407985e+02,   0.000000e+00,   1.749596e+01,   0.000000e+00,   2.006303e+01,   0.000000e+00,   1.033152e+01,   0.000000e+00,   1.130018e+01,   0.000000e+00,              3,              0,       1 meters
  01/01/2002 00:03:30.748,   2.104115e+00,   0.000000e+00,   1.164951e+04,   0.000000e+00,   7.256171e+02,   0.000000e+00,   2.128916e+00,   0.000000e+00,   7.341698e+02,   0.000000e+00,   1.408238e+02,   0.000000e+00,   1.750128e+01,   0.000000e+00,   2.005535e+01,   0.000000e+00,   1.034026e+01,   0.000000e+00,   1.128601e+01,   0.000000e+00,              3,              0,       1 meters
