Date,Mesocosm Code,Mesocosm only Mass (g) (29-09-2025),Average Mesocosm headspace height (cm),,,Mesocosm only Mass (g) 01/10/2025,Mass inc rhizon (no end cap) (g) 01/10/2025,water mass lost (g) 01/10/2025,Volume rainfall added (ml),,Mesocosm + rhizon + rhizon cap mass (g) 03/10/2025,rhizon cap mass (g),,Mesocosm + rhizon + rhizon cap mass (g) 06/10/2025,,,Mesocosm + rhizon + rhizon cap mass (g) 08/10/2025,,,,Mesocosm + rhizon + rhizon cap mass (g) 10/10/2025,,,,Mesocosm + rhizon + rhizon cap mass (g) 13/10/2025,,,,Mesocosm + rhizon + rhizon cap mass (g) 15/10/2025,,,,Mesocosm + rhizon + rhizon cap mass (g) 17/10/2025,,,,Mesocosm + rhizon + rhizon cap mass (g) 20/10/2025,,,,Mesocosm + rhizon + rhizon cap mass (g) 22/10/2025,,,,Mesocosm + rhizon + rhizon cap mass (g) 22/10/2025
29-09-2025,4-130-HB,742.2,5.5,,,728.88,730.63,13.32,,,725.59,,,709.92,,,702.30,,,,695.87,,,,683.02,,,,749.58,,,,726.57,,,,706.83,,,,697.54,,,,686.26
,14-150-HH,1012.71,3,,,"1,005.56","1,007.37",7.15,,,1004.61,,,994.97,,,990.50,,,,986.54,,,,977.78,,,,"1,054.41",,,,"1,043.97",,,,"1,031.29",,,,"1,024.44",,,,"1,016.56"
,27-171-GB,1252.17,3.5,,,"1,243.20","1,244.93",8.97,,,1241.53,,,"1,230.13",,,"1,224.33",,,,"1,219.68",,,,"1,210.53",,,,"1,276.18",,,,"1,265.52",,,,"1,252.63",,,,"1,245.45",,,,"1,236.47"
,13-127-HH,861.74,4,,,850.11,851.97,11.63,,,847.12,,,833.23,,,826.52,,,,820.77,,,,809.40,,,,871.03,,,,859.20,,,,844.27,,,,835.68,,,,825.08
,56-179-GG,1210.4,3.5,,,"1,200.76","1,202.54",9.64,,,1198.16,,,"1,185.51",,,"1,179.01",,,,"1,173.78",,,,"1,163.40",,,,"1,258.52",,,,"1,248.06",,,,"1,234.10",,,,"1,226.08",,,,"1,216.33"
,8-133-HB,954.19,2.5,,,945.53,947.23,8.66,,,943.05,,,930.10,,,923.98,,,,917.94,,,,906.49,,,,"1,039.70",,,,"1,028.12",,,,"1,014.02",,,,"1,005.80",,,,995.29
,24-169-GB,1401.15,4,,,"1,392.47","1,394.16",8.68,,,1390.84,,,1379.65,,,"1,374.16",,,,"1,369.32",,,,"1,359.82",,,,"1,415.10",,,,"1,407.24",,,,"1,395.20",,,,"1,388.48",,,,"1,379.87"
,21-183-GG,1018.74,4.5,,,"1,010.35","1,012.12",8.39,,,1008.25,,,997.70,,,992.83,,,,988.65,,,,980.26,,,,"1,099.74",,,,"1,088.88",,,,"1,076.03",,,,"1,069.14",,,,"1,060.40"
,49-140-HB,1207.66,3.5,,,"1,199.06","1,200.92",8.60,,,1197.27,,,"1,185.83",,,"1,180.20",,,,"1,175.52",,,,"1,165.97",,,,"1,248.99",,,,1239.25,,,,"1,226.06",,,,"1,218.81",,,,"1,209.35"
,12-141-HH,1008.82,4,,,"1,002.40","1,004.12",6.42,,,1001.83,,,993.15,,,989.06,,,,985.66,,,,978.55,,,,"1,042.06",,,,"1,032.64",,,,"1,021.32",,,,"1,014.92",,,,"1,007.00"
,33-170-GB,1343.59,3.5,,,"1,334.82","1,336.56",8.77,,,1332.26,,,"1,320.38",,,"1,315.02",,,,"1,310.48",,,,"1,301.32",,,,"1,356.65",,,,"1,348.00",,,,"1,337.20",,,,"1,330.78",,,,"1,323.02"
,39-173-GG,1281.69,4,,,"1,274.76","1,276.50",6.93,,,1273.5,,,"1,263.23",,,"1,258.11",,,,"1,253.72",,,,"1,245.27",,,,"1,311.64",,,,"1,303.16",,,,"1,292.82",,,,"1,286.86",,,,"1,279.49"
,48-131-HB,625.84,6,,,618.06,619.74,7.78,,,616.64,,,607.17,,,602.74,,,,598.95,,,,591.67,,,,659.03,,,,647.49,,,,631.19,,,,623.12,,,,613.97
,46-126-HH,931.66,4.66,,,922.78,924.44,7.22,,,921.22,,,911.58,,,907.46,,,,903.65,,,,896.70,,,,948.23,,,,933.25,,,,917.30,,,,910.32,,,,902.22
,41-157-GG,1212.68,3,,,"1,203.56","1,205.28",9.12,,,1201.03,,,"1,187.74",,,"1,181.51",,,,"1,175.54",,,,"1,164.26",,,,"1,246.67",,,,"1,236.82",,,,"1,222.65",,,,"1,214.55",,,,"1,203.51"
,25-174-GB,1031.23,4.5,,,"1,022.60","1,024.35",8.63,,,1020.56,,,"1,008.51",,,"1,003.06",,,,997.85,,,,988.42,,,,"1,091.59",,,,"1,081.01",,,,"1,066.44",,,,"1,057.96",,,,"1,046.75"
,42-144-HB,1073.56,4,,,"1,066.91","1,068.59",6.65,,,1065.53,,,"1,055.52",,,"1,051.22",,,,"1,047.40",,,,"1,040.00",,,,"1,118.46",,,,"1,111.66",,,,"1,100.58",,,,"1,094.88",,,,"1,087.49"
,10-129-HH,1101.81,2,,,"1,091.62","1,093.37",10.19,,,1088.38,,,"1,073.59",,,"1,066.98",,,,"1,060.73",,,,"1,048.44",,,,1106.82,,,,"1,095.17",,,,"1,077.91",,,,"1,069.20",,,,"1,058.00"
,17-166-GB,1329.8,5,,,"1,319.77","1,321.31",10.03,,,1316.82,,,"1,303.21",,,"1,297.66",,,,"1,291.81",,,,"1,281.57",,,,"1,370.75",,,,"1,362.17",,,,"1,347.25",,,,"1,338.94",,,,"1,328.00"
,30-155-GG,1206.54,3.83,,,"1,198.65","1,200.41",7.89,,,1196.6,,,"1,184.24",,,"1,178.45",,,,"1,173.03",,,,"1,162.47",,,,"1,241.83",,,,"1,232.92",,,,"1,218.60",,,,"1,211.05",,,,"1,200.84"
