Date,Time,[CH4]_ppm,[CH4]_ppm_sd,[H2O]_ppm,[H2O]_ppm_sd,[CO2]_ppm,[CO2]_ppm_sd,[CH4]d_ppm,[CH4]d_ppm_sd,[CO2]d_ppm,[CO2]d_ppm_sd,GasP_torr,GasP_torr_sd,GasT_C,GasT_C_sd,AmbT_C,AmbT_C_sd,RD0_us,RD0_us_sd,RD1_us,RD1_us_sd,Fit_Flag,MIU_VALVE,M,IU_DESC
03/10/2025,"09:38:01.507,",2.15E+00,0.00E+00,1.25E+04,0.00E+00,6.97E+02,0.00E+00,2.18E+00,0.00E+00,7.06E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:01.818,",2.15E+00,0.00E+00,1.25E+04,0.00E+00,6.98E+02,0.00E+00,2.18E+00,0.00E+00,7.07E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:02.795,",2.15E+00,0.00E+00,1.24E+04,0.00E+00,6.97E+02,0.00E+00,2.18E+00,0.00E+00,7.06E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:03.771,",2.15E+00,0.00E+00,1.26E+04,0.00E+00,6.98E+02,0.00E+00,2.18E+00,0.00E+00,7.06E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:04.748,",2.15E+00,0.00E+00,1.27E+04,0.00E+00,6.99E+02,0.00E+00,2.18E+00,0.00E+00,7.08E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:05.725,",2.15E+00,0.00E+00,1.25E+04,0.00E+00,6.98E+02,0.00E+00,2.18E+00,0.00E+00,7.07E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.04E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:06.701,",2.15E+00,0.00E+00,1.25E+04,0.00E+00,6.98E+02,0.00E+00,2.18E+00,0.00E+00,7.06E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:07.679,",2.15E+00,0.00E+00,1.26E+04,0.00E+00,6.97E+02,0.00E+00,2.18E+00,0.00E+00,7.06E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.04E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:08.657,",2.15E+00,0.00E+00,1.26E+04,0.00E+00,6.98E+02,0.00E+00,2.18E+00,0.00E+00,7.07E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:09.633,",2.15E+00,0.00E+00,1.26E+04,0.00E+00,6.98E+02,0.00E+00,2.18E+00,0.00E+00,7.07E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:10.610,",2.15E+00,0.00E+00,1.25E+04,0.00E+00,6.99E+02,0.00E+00,2.18E+00,0.00E+00,7.07E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:11.586,",2.15E+00,0.00E+00,1.25E+04,0.00E+00,6.97E+02,0.00E+00,2.18E+00,0.00E+00,7.06E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.04E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"09:38:12.564,",2.15E+00,0.00E+00,1.24E+04,0.00E+00,6.98E+02,0.00E+00,2.18E+00,0.00E+00,7.07E+02,0.00E+00,1.41E+02,0.00E+00,1.93E+01,0.00E+00,2.08E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
