Date,Time,[CH4]_ppm,[CH4]_ppm_sd,[H2O]_ppm,[H2O]_ppm_sd,[CO2]_ppm,[CO2]_ppm_sd,[CH4]d_ppm,[CH4]d_ppm_sd,[CO2]d_ppm,[CO2]d_ppm_sd,GasP_torr,GasP_torr_sd,GasT_C,GasT_C_sd,AmbT_C,AmbT_C_sd,RD0_us,RD0_us_sd,RD1_us,RD1_us_sd,Fit_Flag,MIU_VALVE,M,IU_DESC
29/09/2025,"16:33:01.507,",2.34E+00,0.00E+00,9.83E+03,0.00E+00,6.87E+02,0.00E+00,2.37E+00,0.00E+00,6.94E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:01.744,",2.33E+00,0.00E+00,9.92E+03,0.00E+00,6.87E+02,0.00E+00,2.36E+00,0.00E+00,6.94E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:02.719,",2.33E+00,0.00E+00,9.98E+03,0.00E+00,6.86E+02,0.00E+00,2.35E+00,0.00E+00,6.93E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:03.695,",2.33E+00,0.00E+00,9.77E+03,0.00E+00,6.87E+02,0.00E+00,2.36E+00,0.00E+00,6.94E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.04E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:04.672,",2.34E+00,0.00E+00,9.71E+03,0.00E+00,6.87E+02,0.00E+00,2.36E+00,0.00E+00,6.94E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:05.649,",2.35E+00,0.00E+00,9.57E+03,0.00E+00,6.86E+02,0.00E+00,2.37E+00,0.00E+00,6.93E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:06.626,",2.34E+00,0.00E+00,1.00E+04,0.00E+00,6.88E+02,0.00E+00,2.36E+00,0.00E+00,6.95E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:07.603,",2.32E+00,0.00E+00,1.01E+04,0.00E+00,6.88E+02,0.00E+00,2.35E+00,0.00E+00,6.95E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:08.580,",2.33E+00,0.00E+00,9.88E+03,0.00E+00,6.88E+02,0.00E+00,2.36E+00,0.00E+00,6.95E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:09.557,",2.34E+00,0.00E+00,1.00E+04,0.00E+00,6.88E+02,0.00E+00,2.36E+00,0.00E+00,6.95E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:10.534,",2.34E+00,0.00E+00,9.69E+03,0.00E+00,6.87E+02,0.00E+00,2.36E+00,0.00E+00,6.94E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
29/09/2025,"16:33:11.512,",2.33E+00,0.00E+00,9.75E+03,0.00E+00,6.87E+02,0.00E+00,2.36E+00,0.00E+00,6.94E+02,0.00E+00,1.41E+02,0.00E+00,1.64E+01,0.00E+00,1.93E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
