Mesocosm,Start,End
4-130-HB,14:48:30,14:50:30
14-150-HH,14:45:10,14:47:10
27-171-GB,14:41:40,14:43:40
13-127-HH,14:38:20,14:40:20
56-179-GG,14:35:00,14:37:00
8-133-HB,14:31:45,14:33:45
24-169-GB,14:27:53,14:29:53
21-183-GG,14:24:20,14:26:30
49-140-HB,14:21:12,14:23:12
12-141-HH,14:17:30,14:19:35
33-170-GB,14:13:45,14:16:00
39-173-GG,14:10:33,14:12:33
48-131-HB,14:06:40,14:09:20
46-126-HH,14:03:17,14:05:17
41-157-GG,13:59:50,14:01:50
25-174-GB,13:56:30,13:58:30
42-144-HB,13:52:33,13:54:45
10-129-HH,13:49:25,13:51:25
17-166-GB,13:46:15,13:48:15
30-155-GG,13:42:45,13:44:45
32-123-HB,13:39:40,13:41:40
16-128-HH,13:36:30,13:38:30
54-164-GB,13:31:55,13:35:15
50-160-GG,13:28:24,13:30:24
53-149-HB,12:02:20,12:04:20
23-146-HH,11:58:40,12:00:40
45-161-GB,11:55:40,11:57:00
36-178-GG,11:52:20,11:54:20
2-138-HB,11:48:47,11:50:47
5-139-HH,11:44:45,11:46:45
18-167-GB,11:41:20,11:43:30
43-180-GG,11:38:00,11:40:00
29-148-HB,11:34:15,11:36:15
19-147-HH,11:30:00,11:32:00
38-156-GB,11:14:20,11:28:55
59-172-GG,11:11:06,11:13:06
9-134-HB,11:08:00,11:10:10
7-136-HH,11:04:50,11:06:50
15-154-GB,11:01:32,11:03:32
35-182-GG,10:58:22,11:00:22
1-137-HB,10:55:00,10:57:00
6-125-HH,10:51:40,10:53:40
26-159-GB,10:48:30,10:50:30
34-163-GG,10:45:22,10:47:20
55-124-HB,10:39:15,10:43:08
51-132-HH,10:35:50,10:37:55
28-176-GB,10:32:30,10:34:30
58-162-GG,10:28:50,10:31:10
47-145-HB,10:25:25,10:27:25
44-153-HH,10:22:10,10:24:10
60-168-GB,10:19:00,10:21:00
37-181-GG,10:15:50,10:17:50
57-152-HB,10:11:47,10:13:47
3-135-HH,10:07:46,10:09:30
40-158-GB,10:04:35,10:06:25
22-165-GG,10:01:14,10:03:14
52-151-HB,09:58:10,10:00:00
11-142-HH,09:54:52,09:56:52
20-177-GB,09:50:30,09:52:30
