Mesocosm,Date,Start,End
4-130-HB,06/10/2025,09:10:00,09:12:00
14-150-HH,06/10/2025,09:13:00,09:15:00
27-171-GB,06/10/2025,09:16:00,09:18:00
13-127-HH,06/10/2025,09:25:10,09:27:10
56-179-GG,06/10/2025,09:19:00,09:21:05
8-133-HB,06/10/2025,09:22:10,09:24:10
24-169-GB,06/10/2025,09:28:15,09:30:20
21-183-GG,06/10/2025,09:31:30,09:33:30
49-140-HB,06/10/2025,09:34:40,09:36:40
12-141-HH,06/10/2025,09:38:00,09:41:00
33-170-GB,06/10/2025,09:42:00,09:44:20
39-173-GG,06/10/2025,09:45:30,09:47:40
48-131-HB,06/10/2025,13:16:30,13:18:30
46-126-HH,06/10/2025,13:20:55,13:22:55
41-157-GG,06/10/2025,13:24:00,13:26:10
25-174-GB,06/10/2025,13:27:15,13:29:20
42-144-HB,06/10/2025,13:30:30,13:33:00
10-129-HH,06/10/2025,13:34:00,13:36:00
17-166-GB,06/10/2025,13:37:10,13:39:40
30-155-GG,06/10/2025,13:40:55,13:42:55
32-123-HB,06/10/2025,13:44:00,13:46:00
16-128-HH,06/10/2025,13:47:20,13:50:50
54-164-GB,06/10/2025,13:52:00,13:54:32
50-160-GG,06/10/2025,13:56:00,13:58:00
53-149-HB,06/10/2025,16:25:00,16:30:00
23-146-HH,06/10/2025,16:31:10,16:33:10
45-161-GB,06/10/2025,16:34:10,16:36:10
36-178-GG,06/10/2025,16:37:10,16:39:10
2-138-HB,06/10/2025,16:40:10,16:42:10
5-139-HH,06/10/2025,16:43:10,16:45:10
18-167-GB,06/10/2025,16:46:15,16:48:15
43-180-GG,06/10/2025,16:49:15,16:52:35
29-148-HB,06/10/2025,16:53:45,16:55:45
19-147-HH,06/10/2025,16:56:45,16:59:20
38-156-GB,06/10/2025,17:00:30,17:02:50
59-172-GG,06/10/2025,17:04:05,17:06:55
9-134-HB,06/10/2025,17:08:20,17:10:20
7-136-HH,06/10/2025,17:11:35,17:13:40
15-154-GB,06/10/2025,17:14:50,17:18:15
35-182-GG,06/10/2025,17:19:40,17:21:45
1-137-HB,06/10/2025,17:22:55,17:25:20
6-125-HH,06/10/2025,17:26:30,17:29:05
26-159-GB,06/10/2025,17:30:50,17:33:50
34-163-GG,06/10/2025,17:35:05,17:37:05
55-124-HB,06/10/2025,17:38:15,17:40:20
51-132-HH,06/10/2025,17:41:25,17:43:40
28-176-GB,06/10/2025,17:45:10,17:47:30
58-162-GG,06/10/2025,17:48:45,17:51:00
47-145-HB,06/10/2025,17:52:20,17:54:30
44-153-HH,06/10/2025,17:55:40,17:57:45
60-168-GB,06/10/2025,17:58:55,18:01:15
37-181-GG,06/10/2025,18:02:25,18:04:30
57-152-HB,06/10/2025,18:05:40,18:07:45
3-135-HH,06/10/2025,18:09:00,18:11:02
40-158-GB,06/10/2025,18:12:30,18:14:35
22-165-GG,06/10/2025,18:15:52,18:18:10
52-151-HB,06/10/2025,18:19:15,18:21:20
11-142-HH,06/10/2025,18:22:35,18:24:40
20-177-GB,06/10/2025,18:25:45,18:28:20
