sample_id,Habitat,Bracken,Headspace height (cm),Headspace volume (m3),Chamber volume (m3),Tube internal diameter  (m),Tube length (m),Tube volume (m3),White plastic fitting internal volume (m3),Los Gatos internal volume (ml),V (m3),V (L) no rhizons,Rhizon volume (L),V (L),p (atm),A (m2),R (L atm mol-1 K-1),T (K),Rack,Rainfall mix,Rainfall volume (ml)
4-130-HB,Heathland,Present,5.5,0.000449421,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001486465,1.486464949,0.0025,1.483964949,1,0.008171282,0.082058,288,1,1,613
14-150-HH,Heathland,Absent,3,0.000245138,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001282183,1.282182886,0.0025,1.279682886,1,0.008171282,0.082058,288,1,1,695
27-171-GB,Grassland,Present,3.5,0.000285995,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,858
13-127-HH,Heathland,Absent,4,0.000326851,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,776
56-179-GG,Grassland,Absent,3.5,0.000285995,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,858
8-133-HB,Heathland,Present,2.5,0.000204282,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001241326,1.241326474,0.0025,1.238826474,1,0.008171282,0.082058,288,1,1,940
24-169-GB,Grassland,Present,4,0.000326851,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,613
21-183-GG,Grassland,Absent,4.5,0.000367708,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001404752,1.404752124,0.0025,1.402252124,1,0.008171282,0.082058,288,1,1,940
49-140-HB,Heathland,Present,3.5,0.000285995,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,695
12-141-HH,Heathland,Absent,4,0.000326851,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,858
33-170-GB,Grassland,Present,3.5,0.000285995,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,776
39-173-GG,Grassland,Absent,4,0.000326851,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,613
48-131-HB,Heathland,Present,6,0.000490277,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001527321,1.527321361,0.0025,1.524821361,1,0.008171282,0.082058,288,2,1,776
46-126-HH,Heathland,Absent,4.66,0.000380782,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001417826,1.417826176,0.0025,1.415326176,1,0.008171282,0.082058,288,2,1,940
41-157-GG,Grassland,Absent,3,0.000245138,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001282183,1.282182886,0.0025,1.279682886,1,0.008171282,0.082058,288,2,1,695
25-174-GB,Grassland,Present,4.5,0.000367708,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001404752,1.404752124,0.0025,1.402252124,1,0.008171282,0.082058,288,2,1,695
42-144-HB,Heathland,Present,4,0.000326851,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,2,1,940
10-129-HH,Heathland,Absent,2,0.000163426,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.00120047,1.200470061,0.0025,1.197970061,1,0.008171282,0.082058,288,2,1,695
17-166-GB,Grassland,Present,5,0.000408564,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001445609,1.445608536,0.0025,1.443108536,1,0.008171282,0.082058,288,2,1,613
30-155-GG,Grassland,Absent,3.83,0.00031296,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001350005,1.350004531,0.0025,1.347504531,1,0.008171282,0.082058,288,2,1,776
32-123-HB,Heathland,Present,6,0.000490277,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001527321,1.527321361,0.0025,1.524821361,1,0.008171282,0.082058,288,2,1,695
16-128-HH,Heathland,Absent,4.75,0.000388136,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.00142518,1.42518033,0.0025,1.42268033,1,0.008171282,0.082058,288,2,1,858
54-164-GB,Grassland,Present,3,0.000245138,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001282183,1.282182886,0.0025,1.279682886,1,0.008171282,0.082058,288,2,1,940
50-160-GG,Grassland,Absent,4.25,0.00034728,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001384324,1.384323917,0.0025,1.381823917,1,0.008171282,0.082058,288,2,1,776
53-149-HB,Heathland,Present,4.5,0.000367708,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001404752,1.404752124,0.0025,1.402252124,1,0.008171282,0.082058,288,3,2,858
23-146-HH,Heathland,Absent,8,0.000653703,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001690747,1.690747011,0.0025,1.688247011,1,0.008171282,0.082058,288,3,2,776
45-161-GB,Grassland,Present,4.25,0.00034728,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001384324,1.384323917,0.0025,1.381823917,1,0.008171282,0.082058,288,3,1,858
36-178-GG,Grassland,Absent,6.75,0.000551562,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001588606,1.58860598,0.0025,1.58610598,1,0.008171282,0.082058,288,3,1,858
2-138-HB,Heathland,Present,5,0.000408564,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001445609,1.445608536,0.0025,1.443108536,1,0.008171282,0.082058,288,3,2,613
5-139-HH,Heathland,Absent,3.75,0.000306423,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001343468,1.343467505,0.0025,1.340967505,1,0.008171282,0.082058,288,3,1,613
18-167-GB,Grassland,Present,2.25,0.000183854,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001220898,1.220898268,0.0025,1.218398268,1,0.008171282,0.082058,288,3,1,776
43-180-GG,Grassland,Absent,3.5,0.000285995,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,3,2,613
29-148-HB,Heathland,Present,3.25,0.000265567,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001302611,1.302611093,0.0025,1.300111093,1,0.008171282,0.082058,288,3,1,858
19-147-HH,Heathland,Absent,2.25,0.000183854,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001220898,1.220898268,0.0025,1.218398268,1,0.008171282,0.082058,288,3,2,940
38-156-GB,Grassland,Present,6.25,0.000510705,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.00154775,1.547749567,0.0025,1.545249567,1,0.008171282,0.082058,288,3,2,695
59-172-GG,Grassland,Absent,2.75,0.00022471,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001261755,1.26175468,0.002,1.25975468,1,0.008171282,0.082058,288,3,2,695
9-134-HB,Heathland,Present,4.5,0.000367708,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001404752,1.404752124,0.002,1.402752124,1,0.008171282,0.082058,288,4,2,776
7-136-HH,Heathland,Absent,4.75,0.000388136,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.00142518,1.42518033,0.002,1.42318033,1,0.008171282,0.082058,288,4,2,940
15-154-GB,Grassland,Present,4,0.000326851,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,4,2,940
35-182-GG,Grassland,Absent,5,0.000408564,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001445609,1.445608536,0.002,1.443608536,1,0.008171282,0.082058,288,4,2,776
1-137-HB,Heathland,Present,4,0.000326851,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001363896,1.363895711,0.002,1.361895711,1,0.008171282,0.082058,288,4,2,940
6-125-HH,Heathland,Absent,6,0.000490277,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001527321,1.527321361,0.002,1.525321361,1,0.008171282,0.082058,288,4,2,613
26-159-GB,Grassland,Present,3.5,0.000285995,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001323039,1.323039299,0.002,1.321039299,1,0.008171282,0.082058,288,4,2,940
34-163-GG,Grassland,Absent,5.25,0.000428992,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001466037,1.466036742,0.002,1.464036742,1,0.008171282,0.082058,288,4,2,695
55-124-HB,Heathland,Present,3,0.000245138,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001282183,1.282182886,0.0025,1.279682886,1,0.008171282,0.082058,288,4,2,858
51-132-HH,Heathland,Absent,4.25,0.00034728,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001384324,1.384323917,0.0025,1.381823917,1,0.008171282,0.082058,288,4,2,695
28-176-GB,Grassland,Present,4.5,0.000367708,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001404752,1.404752124,0.002,1.402752124,1,0.008171282,0.082058,288,4,2,613
58-162-GG,Grassland,Absent,2.75,0.00022471,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001261755,1.26175468,0.0025,1.25925468,1,0.008171282,0.082058,288,4,2,858
47-145-HB,Heathland,Present,5.5,0.000449421,0.000914469,0.003,3.12,2.21E-05,5.22E-07,100,0.001486465,1.486464949,0.0025,1.483964949,1,0.008171282,0.082058,288,5,2,613
