sample_id,Date,Soil Moisture (% day 0)
4-130-HB,29/09/2025,100
14-150-HH,29/09/2025,100
27-171-GB,29/09/2025,100
13-127-HH,29/09/2025,100
56-179-GG,29/09/2025,100
8-133-HB,29/09/2025,100
24-169-GB,29/09/2025,100
21-183-GG,29/09/2025,100
49-140-HB,29/09/2025,100
12-141-HH,29/09/2025,100
33-170-GB,29/09/2025,100
39-173-GG,29/09/2025,100
48-131-HB,29/09/2025,100
46-126-HH,29/09/2025,100
41-157-GG,29/09/2025,100
25-174-GB,29/09/2025,100
42-144-HB,29/09/2025,100
10-129-HH,29/09/2025,100
17-166-GB,29/09/2025,100
30-155-GG,29/09/2025,100
32-123-HB,29/09/2025,100
16-128-HH,29/09/2025,100
54-164-GB,29/09/2025,100
50-160-GG,29/09/2025,100
53-149-HB,29/09/2025,100
23-146-HH,29/09/2025,100
45-161-GB,29/09/2025,100
36-178-GG,29/09/2025,100
2-138-HB,29/09/2025,100
5-139-HH,29/09/2025,100
18-167-GB,29/09/2025,100
43-180-GG,29/09/2025,100
29-148-HB,29/09/2025,100
19-147-HH,29/09/2025,100
38-156-GB,29/09/2025,100
59-172-GG,29/09/2025,100
9-134-HB,29/09/2025,100
7-136-HH,29/09/2025,100
15-154-GB,29/09/2025,100
35-182-GG,29/09/2025,100
1-137-HB,29/09/2025,100
6-125-HH,29/09/2025,100
26-159-GB,29/09/2025,100
34-163-GG,29/09/2025,100
55-124-HB,29/09/2025,100
51-132-HH,29/09/2025,100
28-176-GB,29/09/2025,100
58-162-GG,29/09/2025,100
47-145-HB,29/09/2025,100
44-153-HH,29/09/2025,100
60-168-GB,29/09/2025,100
37-181-GG,29/09/2025,100
57-152-HB,29/09/2025,100
3-135-HH,29/09/2025,100
40-158-GB,29/09/2025,100
22-165-GG,29/09/2025,100
52-151-HB,29/09/2025,100
11-142-HH,29/09/2025,100
20-177-GB,29/09/2025,100
4-130-HB,01/10/2025,98.21
14-150-HH,01/10/2025,99.29
27-171-GB,01/10/2025,99.28
13-127-HH,01/10/2025,98.65
56-179-GG,01/10/2025,99.2
8-133-HB,01/10/2025,99.09
24-169-GB,01/10/2025,99.38
21-183-GG,01/10/2025,99.18
49-140-HB,01/10/2025,99.29
12-141-HH,01/10/2025,99.36
33-170-GB,01/10/2025,99.35
39-173-GG,01/10/2025,99.46
48-131-HB,01/10/2025,98.76
46-126-HH,01/10/2025,99.05
41-157-GG,01/10/2025,99.25
25-174-GB,01/10/2025,99.16
42-144-HB,01/10/2025,99.38
10-129-HH,01/10/2025,99.08
17-166-GB,01/10/2025,99.25
30-155-GG,01/10/2025,99.35
32-123-HB,01/10/2025,99.22
16-128-HH,01/10/2025,99.17
54-164-GB,01/10/2025,99.16
50-160-GG,01/10/2025,99.45
53-149-HB,01/10/2025,98.71
23-146-HH,01/10/2025,99.13
45-161-GB,01/10/2025,98.88
36-178-GG,01/10/2025,99.29
2-138-HB,01/10/2025,98.95
5-139-HH,01/10/2025,98.86
18-167-GB,01/10/2025,99.15
43-180-GG,01/10/2025,99.24
29-148-HB,01/10/2025,99.08
19-147-HH,01/10/2025,99.17
38-156-GB,01/10/2025,99.08
59-172-GG,01/10/2025,99.3
9-134-HB,01/10/2025,98.79
7-136-HH,01/10/2025,98.89
15-154-GB,01/10/2025,99.22
35-182-GG,01/10/2025,99.26
1-137-HB,01/10/2025,99.1
6-125-HH,01/10/2025,98.64
26-159-GB,01/10/2025,99.17
34-163-GG,01/10/2025,99.32
55-124-HB,01/10/2025,98.82
51-132-HH,01/10/2025,99.28
28-176-GB,01/10/2025,99.31
58-162-GG,01/10/2025,99.24
47-145-HB,01/10/2025,99.18
44-153-HH,01/10/2025,98.95
60-168-GB,01/10/2025,98.91
37-181-GG,01/10/2025,99.37
57-152-HB,01/10/2025,99.14
3-135-HH,01/10/2025,99.07
40-158-GB,01/10/2025,99.2
22-165-GG,01/10/2025,99.06
52-151-HB,01/10/2025,99.19
11-142-HH,01/10/2025,98.94
20-177-GB,01/10/2025,99.22
4-130-HB,03/10/2025,97.44
14-150-HH,03/10/2025,98.96
27-171-GB,03/10/2025,98.96
13-127-HH,03/10/2025,98.02
56-179-GG,03/10/2025,98.79
8-133-HB,03/10/2025,98.59
24-169-GB,03/10/2025,99.1
21-183-GG,03/10/2025,98.74
49-140-HB,03/10/2025,98.93
12-141-HH,03/10/2025,99.07
33-170-GB,03/10/2025,98.98
39-173-GG,03/10/2025,99.18
48-131-HB,03/10/2025,98.16
46-126-HH,03/10/2025,98.63
41-157-GG,03/10/2025,98.85
25-174-GB,03/10/2025,98.74
42-144-HB,03/10/2025,99.04
10-129-HH,03/10/2025,98.57
17-166-GB,03/10/2025,98.86
30-155-GG,03/10/2025,98.98
32-123-HB,03/10/2025,98.81
16-128-HH,03/10/2025,98.81
54-164-GB,03/10/2025,98.71
50-160-GG,03/10/2025,99.13
53-149-HB,03/10/2025,97.91
23-146-HH,03/10/2025,98.6
45-161-GB,03/10/2025,98.2
36-178-GG,03/10/2025,98.87
2-138-HB,03/10/2025,98.24
5-139-HH,03/10/2025,98.23
18-167-GB,03/10/2025,98.67
43-180-GG,03/10/2025,98.8
29-148-HB,03/10/2025,98.58
19-147-HH,03/10/2025,98.63
38-156-GB,03/10/2025,98.49
59-172-GG,03/10/2025,98.9
9-134-HB,03/10/2025,98.11
7-136-HH,03/10/2025,98.25
15-154-GB,03/10/2025,98.74
35-182-GG,03/10/2025,98.82
1-137-HB,03/10/2025,98.51
6-125-HH,03/10/2025,97.81
26-159-GB,03/10/2025,98.68
34-163-GG,03/10/2025,98.93
55-124-HB,03/10/2025,98.12
51-132-HH,03/10/2025,98.8
28-176-GB,03/10/2025,98.9
58-162-GG,03/10/2025,98.73
47-145-HB,03/10/2025,98.68
44-153-HH,03/10/2025,98.25
60-168-GB,03/10/2025,98.16
37-181-GG,03/10/2025,98.99
57-152-HB,03/10/2025,98.48
3-135-HH,03/10/2025,98.41
40-158-GB,03/10/2025,98.68
22-165-GG,03/10/2025,98.43
52-151-HB,03/10/2025,98.68
11-142-HH,03/10/2025,98.32
20-177-GB,03/10/2025,98.71
4-130-HB,06/10/2025,95.33
14-150-HH,06/10/2025,98.01
27-171-GB,06/10/2025,98.05
13-127-HH,06/10/2025,96.4
56-179-GG,06/10/2025,97.75
8-133-HB,06/10/2025,97.23
24-169-GB,06/10/2025,98.3
21-183-GG,06/10/2025,97.7
49-140-HB,06/10/2025,97.99
12-141-HH,06/10/2025,98.21
33-170-GB,06/10/2025,98.1
39-173-GG,06/10/2025,98.38
48-131-HB,06/10/2025,96.65
46-126-HH,06/10/2025,97.6
41-157-GG,06/10/2025,97.75
25-174-GB,06/10/2025,97.57
42-144-HB,06/10/2025,98.11
10-129-HH,06/10/2025,97.22
17-166-GB,06/10/2025,97.84
30-155-GG,06/10/2025,97.95
32-123-HB,06/10/2025,97.77
16-128-HH,06/10/2025,97.74
54-164-GB,06/10/2025,97.59
50-160-GG,06/10/2025,98.26
53-149-HB,06/10/2025,95.75
23-146-HH,06/10/2025,97.16
45-161-GB,06/10/2025,96.27
36-178-GG,06/10/2025,97.7
2-138-HB,06/10/2025,96.46
5-139-HH,06/10/2025,96.64
18-167-GB,06/10/2025,97.44
43-180-GG,06/10/2025,97.74
29-148-HB,06/10/2025,97.34
19-147-HH,06/10/2025,97.1
38-156-GB,06/10/2025,97.03
59-172-GG,06/10/2025,97.82
9-134-HB,06/10/2025,96.56
7-136-HH,06/10/2025,96.58
15-154-GB,06/10/2025,97.59
35-182-GG,06/10/2025,97.72
1-137-HB,06/10/2025,97.04
6-125-HH,06/10/2025,95.85
26-159-GB,06/10/2025,97.56
34-163-GG,06/10/2025,97.95
55-124-HB,06/10/2025,96.4
51-132-HH,06/10/2025,97.54
28-176-GB,06/10/2025,97.88
58-162-GG,06/10/2025,97.44
47-145-HB,06/10/2025,97.32
44-153-HH,06/10/2025,96.52
60-168-GB,06/10/2025,96.33
37-181-GG,06/10/2025,98.05
57-152-HB,06/10/2025,96.82
3-135-HH,06/10/2025,96.73
40-158-GB,06/10/2025,97.46
22-165-GG,06/10/2025,96.9
52-151-HB,06/10/2025,97.41
11-142-HH,06/10/2025,96.81
20-177-GB,06/10/2025,97.34
4-130-HB,08/10/2025,94.3
14-150-HH,08/10/2025,97.57
27-171-GB,08/10/2025,97.59
13-127-HH,08/10/2025,95.62
56-179-GG,08/10/2025,97.21
8-133-HB,08/10/2025,96.59
24-169-GB,08/10/2025,97.91
21-183-GG,08/10/2025,97.22
49-140-HB,08/10/2025,97.52
12-141-HH,08/10/2025,97.81
33-170-GB,08/10/2025,97.7
39-173-GG,08/10/2025,97.98
48-131-HB,08/10/2025,95.94
46-126-HH,08/10/2025,97.16
41-157-GG,08/10/2025,97.24
25-174-GB,08/10/2025,97.04
42-144-HB,08/10/2025,97.7
10-129-HH,08/10/2025,96.62
17-166-GB,08/10/2025,97.42
30-155-GG,08/10/2025,97.47
32-123-HB,08/10/2025,97.28
16-128-HH,08/10/2025,97.25
54-164-GB,08/10/2025,97.13
50-160-GG,08/10/2025,97.89
53-149-HB,08/10/2025,94.87
23-146-HH,08/10/2025,96.58
45-161-GB,08/10/2025,95.54
36-178-GG,08/10/2025,97.29
2-138-HB,08/10/2025,95.8
5-139-HH,08/10/2025,96.04
18-167-GB,08/10/2025,97.01
43-180-GG,08/10/2025,97.3
29-148-HB,08/10/2025,96.89
19-147-HH,08/10/2025,96.51
38-156-GB,08/10/2025,96.45
59-172-GG,08/10/2025,97.41
9-134-HB,08/10/2025,95.97
7-136-HH,08/10/2025,96
15-154-GB,08/10/2025,97.19
35-182-GG,08/10/2025,97.3
1-137-HB,08/10/2025,96.53
6-125-HH,08/10/2025,95.19
26-159-GB,08/10/2025,97.17
34-163-GG,08/10/2025,97.57
55-124-HB,08/10/2025,95.81
51-132-HH,08/10/2025,97.08
28-176-GB,08/10/2025,97.49
58-162-GG,08/10/2025,96.99
47-145-HB,08/10/2025,96.86
44-153-HH,08/10/2025,95.93
60-168-GB,08/10/2025,95.7
37-181-GG,08/10/2025,97.73
57-152-HB,08/10/2025,96.18
3-135-HH,08/10/2025,96.12
40-158-GB,08/10/2025,97.02
22-165-GG,08/10/2025,96.32
52-151-HB,08/10/2025,96.94
11-142-HH,08/10/2025,96.31
20-177-GB,08/10/2025,96.78
4-130-HB,10/10/2025,93.44
14-150-HH,10/10/2025,97.18
27-171-GB,10/10/2025,97.22
13-127-HH,10/10/2025,94.96
56-179-GG,10/10/2025,96.78
8-133-HB,10/10/2025,95.96
24-169-GB,10/10/2025,97.56
21-183-GG,10/10/2025,96.81
49-140-HB,10/10/2025,97.13
12-141-HH,10/10/2025,97.47
33-170-GB,10/10/2025,97.36
39-173-GG,10/10/2025,97.63
48-131-HB,10/10/2025,95.34
46-126-HH,10/10/2025,96.75
41-157-GG,10/10/2025,96.74
25-174-GB,10/10/2025,96.53
42-144-HB,10/10/2025,97.35
10-129-HH,10/10/2025,96.06
17-166-GB,10/10/2025,96.98
30-155-GG,10/10/2025,97.03
32-123-HB,10/10/2025,96.82
16-128-HH,10/10/2025,96.81
54-164-GB,10/10/2025,96.7
50-160-GG,10/10/2025,97.52
53-149-HB,10/10/2025,93.98
23-146-HH,10/10/2025,96.01
45-161-GB,10/10/2025,94.77
36-178-GG,10/10/2025,96.81
2-138-HB,10/10/2025,95.16
5-139-HH,10/10/2025,95.42
18-167-GB,10/10/2025,96.57
43-180-GG,10/10/2025,96.85
29-148-HB,10/10/2025,96.43
19-147-HH,10/10/2025,95.85
38-156-GB,10/10/2025,95.85
59-172-GG,10/10/2025,96.97
9-134-HB,10/10/2025,95.31
7-136-HH,10/10/2025,95.32
15-154-GB,10/10/2025,96.7
35-182-GG,10/10/2025,96.77
1-137-HB,10/10/2025,95.87
6-125-HH,10/10/2025,94.39
26-159-GB,10/10/2025,96.7
34-163-GG,10/10/2025,97.08
55-124-HB,10/10/2025,95.12
51-132-HH,10/10/2025,96.53
28-176-GB,10/10/2025,96.99
58-162-GG,10/10/2025,96.46
47-145-HB,10/10/2025,96.35
44-153-HH,10/10/2025,95.23
60-168-GB,10/10/2025,94.95
37-181-GG,10/10/2025,97.32
57-152-HB,10/10/2025,95.59
