"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 16:53:17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Gluc7_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23-146-HH-M","24-169-GB-M","25-174-GB-M","26-159-GB-M","27-171-GB-M","29-148-HB-M","30-155-GG-M","32-123-HB-M","33-170-GB-M","34-163-GG-M","35-182-GG-M","36-178-GG-M"
"A","12463.0","14385.0","12676.0","38002.0","9815.0","4438.0","39288.0","12504.0","9408.0","29395.0","29156.0","26923.0"
"B","12309.0","6945.0","12384.0","34686.0","9135.0","4256.0","35858.0","11512.0","9390.0","27667.0","29197.0","25348.0"
"C","11494.0","6647.0","12247.0","35808.0","9388.0","4163.0","36209.0","11561.0","9080.0","26752.0","27887.0","26183.0"
"D","11763.0","6603.0","12133.0","36107.0","8722.0","4010.0","33852.0","11172.0","9061.0","26916.0","26934.0","25394.0"
"E","245.0","227.0","306.0","343.0","324.0","266.0","287.0","289.0","340.0","304.0","372.0","351.0"
"F","242.0","237.0","289.0","334.0","324.0","274.0","295.0","287.0","326.0","307.0","386.0","348.0"
"G","265.0","232.0","296.0","341.0","329.0","282.0","295.0","284.0","342.0","555.0","390.0","348.0"
"H","272.0","242.0","299.0","345.0","338.0","288.0","291.0","289.0","330.0","347.0","386.0","357.0"
