User: ENVI,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Test ID: 2239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Test Name: MUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Date: 01/07/2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time: 16:44:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID1: JFS_01-07-2026_Standards2_gain755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluorescence (FI),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Raw Data  (360-20/450-30),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0 μmol/L,0.6 μmol/L,1.5 μmol/L,3 μmol/L,4.3 μmol/L,5.7 μmol/L,7.2 μmol/L,8.6 μmol/L,11.5 μmol/L,10,11,12
A,71,23333,42440,NA,100573,132405,165276,NA,248935,43,37,39
B,57,22223,40064,NA,96621,126305,154126,NA,234198,39,38,37
C,58,21192,38564,NA,93113,117643,152043,NA,234415,41,38,39
D,54,21492,38112,NA,93830,125554,146521,NA,230567,41,36,39
E,57,21389,37978,NA,93805,120014,151074,NA,222076,42,37,37
F,54,21269,37333,NA,94249,127274,145198,NA,223453,41,39,39
G,56,22386,38493,NA,95033,129445,153256,NA,227850,38,39,37
H,53,22808,40514,NA,97053,126644,161329,NA,236618,39,37,35
