"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 17:46:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Stnd2rep3_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1.0",2,3,4,5,6,7,8,9,10,11,12
"A","63.0",18834,34433,34766,81779,105841,132540,141923,204249,40,37,37
"B","58.0",18240,32104,34416,78990,102455,126862,137588,198190,44,37,37
"C","60.0",17272,31239,31700,75757,95445,125513,135107,199489,40,39,38
"D","54.0",17583,30874,32840,76580,102750,121234,133368,196485,40,40,38
"E","56.0",17227,30807,32605,76859,98213,124720,133247,188985,40,40,39
"F","55.0",17228,30325,33107,76795,103962,118802,136245,190344,42,39,38
"G","56.0",18248,31052,33195,77537,101808,126323,131357,192357,39,37,39
"H","58.0",18597,32637,33341,78926,102551,134201,135484,202444,37,39,36
