User: ENVI,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Test ID: 2255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Test Name: MUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Date: 01/07/2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time: 17:31:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID1: JFS_01-07-2026_Xylo5_gain755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluorescence (FI),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Raw Data  (360-20/450-30),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,52-151-HB M,55-124-HB M,57-152-HB M,58-162-GG M,60-168-GB M,1-137-HB-M,2-138-HB-M,4-130-HB-M,5-139-HH-M,6-125-HH-M,7-136-HH-M,8-133-HB-M
A,14154,5998,5253,4600,4991,6056,4284,8036,7317,11043,12672,10513
B,13778,5217,4936,4690,5322,5797,4626,7783,6917,10549,12389,10157
C,15096,5053,5220,5300,6043,4974,4523,7432,7065,10037,13116,9811
D,17523,5505,6228,5369,6301,5403,4568,7878,6502,10250,11770,10301
E,486,456,482,434,415,420,374,391,371,369,388,439
F,490,452,480,425,425,422,370,390,365,357,2884,434
G,515,472,481,453,443,409,373,390,379,NA,394,437
H,536,486,519,456,453,439,421,409,385,NA,400,463
