"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 17:36:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Xylo7_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"23-146-HH-M","24-169-GB-M","25-174-GB-M","26-159-GB-M","27-171-GB-M","29-148-HB-M","30-155-GG-M","32-123-HB-M","33-170-GB-M","34-163-GG-M","35-182-GG-M","36-178-GG-M"
"A","19398.0","3679.0","5440.0","21563.0","6169.0","3036.0","8790.0","7591.0","4476.0","10205.0","11744.0","17094.0"
"B","18279.0","3505.0","5082.0","19773.0","5590.0","2973.0","8381.0","7180.0","4209.0","9499.0","11519.0","16742.0"
"C","18790.0","3563.0","5093.0","20970.0","5627.0","2873.0","8457.0","7114.0","4040.0","9493.0","10895.0","16489.0"
"D","18017.0","3508.0","4961.0","20872.0","5273.0","2846.0","8273.0","6598.0","4088.0","8667.0","10626.0","15927.0"
"E","450.0","402.0","468.0","528.0","512.0","434.0","492.0","465.0","504.0","530.0","553.0","557.0"
"F","424.0","394.0","474.0","516.0","590.0","474.0","471.0","459.0","511.0","504.0","531.0","534.0"
"G","456.0","484.0","493.0","539.0","518.0","457.0","506.0","471.0","526.0","510.0","563.0","556.0"
"H","458.0","427.0","521.0","533.0","542.0","494.0","535.0","493.0","511.0","515.0","603.0","558.0"
