"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 18:15:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_Standards_gain700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0 μmol/L)","0.6 μmol/L","1.5 μmol/L","3 μmol/L","4.3 μmol/L","5.7 μmol/L","7.2 μmol/L","8.6 μmol/L","11.5 μmol/L",10,11,12
"A","43.0","9494.0","18252.0","33159.0","55367.0","68114.0","78952.0","101014.0","120078.0",40,32,31
"B","96.0","9015.0","17131.0","30476.0","52838.0","64117.0","73974.0","94490.0","104556.0",37,31,31
"C","43.0","8867.0","16130.0","30212.0","51090.0","58978.0","73120.0","89637.0","116180.0",39,33,31
"D","41.0","8777.0","16292.0","29675.0","52020.0","62737.0","72281.0","93927.0","114135.0",37,32,31
"E","40.0","8741.0","16912.0","31505.0","51871.0","62231.0","74216.0","94093.0","112047.0",38,32,32
"F","45.0","8895.0","13912.0","31481.0","54374.0","62963.0","74085.0","92965.0","113239.0",39,30,32
"G","44.0","8883.0","16646.0","31009.0","54720.0","63908.0","72503.0","95197.0","110006.0",36,30,31
"H","44.0","9052.0","16825.0","31802.0","54265.0","68320.0","78439.0","99811.0","125434.0",36,31,32
