"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 18:00:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_NAG1_gain782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1-137-HB","2-138-HB","4-130-HB","8-133-HB","9-134-HB","10-129-HH","12-141-HH","13-127-HH","14-150-HH","15-154-GB","17-166-GB","19-147-HH"
"A","7890.0","4484.0","13060.0","25521.0","9282.0","6544.0","3603.0","31450.0","29679.0","10607.0","50736.0","127817.0"
"B","6826.0","7599.0","11231.0","23393.0","8822.0","6816.0","3328.0","29562.0","28834.0","9440.0","52154.0","130566.0"
"C","6787.0","7431.0","11356.0","22004.0","8525.0","5940.0","2824.0","28908.0","28334.0","9088.0","50281.0","131278.0"
"D","8122.0","7550.0","11286.0","21763.0","8692.0","6591.0","3101.0","28904.0","21823.0","14315.0","53502.0","128745.0"
"E","481.0","467.0","558.0","493.0","446.0","444.0","399.0","411.0","300.0","426.0","450.0","455.0"
"F","479.0","476.0","538.0","498.0","443.0","452.0","411.0","403.0","409.0","520.0","456.0","448.0"
"G","1098.0","467.0","503.0","506.0","453.0","468.0","402.0","419.0","426.0","496.0","458.0","5284.0"
"H","621.0","493.0","588.0","527.0","487.0","556.0","538.0","429.0","519.0","509.0","482.0","493.0"
