"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 26/06/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 18:22:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS-26-06-2026_Phos2_gain782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"20-177-GB","22-165-GG","23-146-HH","24-169-GB","25-174-GB","27-171-GB","28-176-GB","29-148-HB","30-155-GG","32-123-HB","34-163-GG","35-182-GG"
"A","108742.0","106533.0","71821.0","39978.0","31466.0","75658.0","39694.0","38482.0","46775.0","54786.0","105296.0","43566.0"
"B","97511.0","91417.0","66171.0","33052.0","28429.0","72921.0","36080.0","35225.0","44776.0","50242.0","97580.0","40152.0"
"C","85322.0","91138.0","57748.0","31254.0","16897.0","63307.0","34265.0","34306.0","46027.0","49048.0","94904.0","39448.0"
"D","84300.0","90020.0","58346.0","29273.0","24202.0","70004.0","35648.0","34583.0","46323.0","48732.0","100195.0","40173.0"
"E","9086.0","8585.0","8286.0","8108.0","8076.0","7915.0","7688.0","7783.0","7740.0","7823.0","8155.0","8397.0"
"F","9064.0","8627.0","8437.0","8051.0","8079.0","7960.0","7688.0","7952.0","7716.0","7847.0","8237.0","8397.0"
"G","9179.0","8881.0","8587.0","8320.0","8253.0","8221.0","7579.0","8251.0","8183.0","8141.0","8566.0","8619.0"
"H","9579.0","9266.0","8943.0","8869.0","9012.0","8764.0","8621.0","8603.0","8664.0","8603.0","8985.0","9207.0"
