"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 16:56:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Gluc8_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"38-156-GB-M","39-173-GG-M","41-157-GG-M","42-144-HB-M","43-180-GG-M","45-161-GB-M","46-126-HH-M","48-131-HB-M","49-140-HB-M","50-160-GG-M","53-149-HB-M","54-164-GB-M"
"A","13920.0","27569.0","36233.0","22504.0","10361.0","3940.0","13140.0","7767.0","11625.0","93904.0","20709.0","13233.0"
"B","12962.0","26374.0","34456.0","20312.0","9180.0","4077.0","12143.0","7369.0","11380.0","87974.0","19594.0","12514.0"
"C","12401.0","26378.0","33774.0","21641.0","9486.0","3483.0","11949.0","7115.0","10656.0","88088.0","18980.0","12295.0"
"D","13220.0","25929.0","35020.0","21511.0","9118.0","3484.0","11749.0","7187.0","10690.0","83913.0","18945.0","12372.0"
"E","294.0","286.0","359.0","332.0","353.0","302.0","306.0","276.0","298.0","277.0","382.0","329.0"
"F","304.0","279.0","354.0","325.0","345.0","291.0","315.0","288.0","327.0","283.0","403.0","329.0"
"G","314.0","297.0","369.0","341.0","383.0","310.0","311.0","289.0","324.0","278.0","393.0","343.0"
"H","324.0","307.0","385.0","338.0","371.0","333.0","322.0","305.0","312.0","297.0","387.0","354.0"
