"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 17:02:17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_NAG5_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"52-151-HB M","55-124-HB M","57-152-HB M","58-162-GG M","60-168-GB M","1-137-HB-M","2-138-HB-M","4-130-HB-M","5-139-HH-M","6-125-HH-M","7-136-HH-M","8-133-HB-M"
"A","35545.0","17946.0","13963.0","31459.0","18997.0","16315.0","15212.0","28951.0","26533.0","28454.0","18479.0","33694.0"
"B","35097.0","16820.0","14462.0","32529.0","21661.0","15805.0","14914.0","24378.0","26279.0","30166.0","18499.0","33026.0"
"C","37277.0","16676.0","14903.0","30835.0","22061.0","13684.0","14090.0","23859.0","24789.0","28921.0","18023.0","31901.0"
"D","41269.0","18066.0","16139.0","31673.0","25132.0","14895.0","13739.0","21976.0","24284.0","28406.0","17971.0","31451.0"
"E","484.0","361.0","399.0","394.0","337.0","347.0","445.0","316.0","4223.0","290.0","313.0","345.0"
"F","457.0","387.0","402.0","378.0","343.0","360.0","357.0","313.0","305.0","298.0","320.0","381.0"
"G","442.0","409.0","415.0","370.0","359.0","372.0","315.0","320.0","314.0","306.0","368.0","366.0"
"H","845.0","447.0","455.0","392.0","375.0","381.0","342.0","362.0","339.0","318.0","352.0","385.0"
