"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 17:25:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Phos8_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"38-156-GB-M","39-173-GG-M","41-157-GG-M","42-144-HB-M","43-180-GG-M","45-161-GB-M","46-126-HH-M","48-131-HB-M","49-140-HB-M","50-160-GG-M","53-149-HB-M","54-164-GB-M"
"A","37612.0","70734.0","49913.0","48393.0","28999.0","13615.0","102930.0","37487.0","32311.0","73537.0","85646.0","40367.0"
"B","34250.0","66490.0","47549.0","46584.0","27956.0","12767.0","98220.0","34234.0","32143.0","71927.0","83711.0","38208.0"
"C","33664.0","64203.0","44243.0","42068.0","25971.0","11474.0","92382.0","33241.0","31386.0","68475.0","79788.0","37154.0"
"D","33478.0","65303.0","45213.0","39515.0","28043.0","12236.0","99463.0","34244.0","31626.0","70207.0","80351.0","37023.0"
"E","8282.0","6939.0","6797.0","6611.0","6250.0","6532.0","6318.0","6242.0","6159.0","6514.0","6796.0","6920.0"
"F","7808.0","7110.0","6945.0","6621.0","6328.0","6610.0","6397.0","6359.0","6450.0","6622.0","7089.0","7430.0"
"G","11104.0","7474.0","6910.0","6674.0","6512.0","6679.0","6393.0","6647.0","6818.0","6812.0","7028.0","7222.0"
"H","8190.0","7652.0","7178.0","6978.0","6901.0","7163.0","7001.0","6872.0","6994.0","7052.0","7723.0","7478.0"
