"User: ENVI","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
"Path: C:\Program Files (x86)\BMG\SMART Control\ENVI\Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test ID: 2239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Test Name: MUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date: 01/07/2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time: 16:44:22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID1: JFS_01-07-2026_Standards2_gain755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fluorescence (FI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Raw Data  (360-20/450-30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0 μmol/L","0.6 μmol/L","1.5 μmol/L","3 μmol/L","4.3 μmol/L","5.7 μmol/L","7.2 μmol/L","8.6 μmol/L","11.5 μmol/L",10,11,12
"A","71.0","23333.0","42440.0","42154.0","100573.0","132405.0","165276.0","174044.0","248935.0",43,37,39
"B","57.0","22223.0","40064.0","42256.0","96621.0","126305.0","154126.0","167929.0","234198.0",39,38,37
"C","58.0","21192.0","38564.0","39232.0","93113.0","117643.0","152043.0","162602.0","234415.0",41,38,39
"D","54.0","21492.0","38112.0","40263.0","93830.0","125554.0","146521.0","163104.0","230567.0",41,36,39
"E","57.0","21389.0","37978.0","40403.0","93805.0","120014.0","151074.0","161672.0","222076.0",42,37,37
"F","54.0","21269.0","37333.0","40552.0","94249.0","127274.0","145198.0","168042.0","223453.0",41,39,39
"G","56.0","22386.0","38493.0","40981.0","95033.0","129445.0","153256.0","160171.0","227850.0",38,39,37
"H","53.0","22808.0","40514.0","41285.0","97053.0","126644.0","161329.0","167228.0","236618.0",39,37,35
