Mesocosm Code,Mesocosm only Mass (g) 29-09-2025,Mesocosm only Mass (g) 01/10/2025,Mesocosm mass (g) 03/10/2025,Mesocosm mass (g) 06/10/2025,Mesocosm mass (g) 08/10/2025,Mesocosm mass (g) 10/10/2025,Mesocosm mass (g) 13/10/2025,Mesocosm mass (g) 15/10/2025,Mesocosm mass (g) 17/10/2025,Mesocosm mass (g) 20/10/2025,Mesocosm mass (g) 22/10/2025,Mesocosm mass (g) 24/10/2025,Mesocosm mass (g) 27/10/2025,Mesocosm mass (g) 29/10/2025,Mesocosm mass (g) 31/10/2025,Mesocosm mass (g) 03/11/2025,Mesocosm mass (g) 05/11/2025,Mesocosm mass (g) 07/11/2025,Mesocosm mass (g) 11/11/2025
4-130-HB,742.2,728.88,723.22,707.55,699.93,693.50,680.65,747.21,724.20,704.46,695.17,683.89,658.43,649.64,639.36,627.62,624.23,621.05,
14-150-HH,1012.71,"1,005.56","1,002.18",992.54,988.07,984.11,975.35,"1,051.98","1,041.54","1,028.86","1,022.01","1,014.13",995.16,988.35,980.34,969.59,966.50,963.56,
27-171-GB,1252.17,"1,243.20","1,239.18","1,227.78","1,221.98","1,217.33","1,208.18","1,273.83","1,263.17","1,250.28","1,243.10","1,234.12","1,213.35","1,206.02","1,197.32","1,185.79","1,182.56","1,179.86",
13-127-HH,861.74,850.11,844.64,830.75,824.04,818.29,806.92,868.55,856.72,841.79,833.20,822.60,796.89,787.09,776.57,761.81,757.42,753.85,
56-179-GG,1210.4,"1,200.76","1,195.76","1,183.11","1,176.61","1,171.38","1,161.00","1,256.12","1,245.66","1,231.70","1,223.68","1,213.93","1,193.98","1,186.46","1,177.15","1,164.71","1,161.12","1,157.70",
8-133-HB,954.19,945.53,940.73,927.78,921.66,915.62,904.17,"1,037.38","1,025.80","1,011.70","1,003.48",992.97,964.40,953.63,941.12,926.13,921.56,917.49,
24-169-GB,1401.15,"1,392.47","1,388.53","1,377.34","1,371.85","1,367.01","1,357.51","1,412.79","1,404.93","1,392.89","1,386.17","1,377.56","1,359.00","1,351.64","1,343.30","1,331.82","1,328.64","1,325.44",
21-183-GG,1018.74,"1,010.35","1,005.86",995.31,990.44,986.26,977.87,"1,097.35","1,086.49","1,073.64","1,066.75","1,058.01","1,038.26","1,030.76","1,022.18","1,011.20","1,007.90","1,004.49",
49-140-HB,1207.66,"1,199.06","1,194.79","1,183.35","1,177.72","1,173.04","1,163.49","1,246.51","1,236.77","1,223.58","1,216.33","1,206.87","1,187.02","1,179.36","1,170.24","1,158.90","1,155.63","1,152.52",
12-141-HH,1008.82,"1,002.40",999.49,990.81,986.72,983.32,976.21,"1,039.72","1,030.30","1,018.98","1,012.58","1,004.66",988.43,982.35,975.19,965.79,963.02,960.37,
