Sample ID,Soil Moisture (% day 0) 29-09-2025,Soil Moisture (% day 0) 01-10-2025,Soil Moisture (% day 0) 03-10-2025,Soil Moisture (% day 0) 06-10-2025,Soil Moisture (% day 0) 08-10-2025,Soil Moisture (% day 0) 10-10-2025,Soil Moisture (% day 0) 13-10-2025,Soil Moisture (% day 0) 15-10-2025,Soil Moisture (% day 0) 17-10-2025,Soil Moisture (% day 0) 20-10-2025,Soil Moisture (% day 0) 22-10-2025,Soil Moisture (% day 0) 24-10-2025,Soil Moisture (% day 0) 27-10-2025,Soil Moisture (% day 0) 29-10-2025,Soil Moisture (% day 0) 31-10-2025,Soil Moisture (% day 0) 03-11-2025,Soil Moisture (% day 0) 05-11-2025,Soil Moisture (% day 0) 07-11-2025,Soil Moisture (% day 0) 11-11-2025,Soil Moisture (% day 0) destructive sampling (13 or 14/11/2025)
4-130-HB,100,98.21,97.44,95.33,94.3,93.44,91.71,100.67,97.57,94.91,93.66,92.14,88.71,87.53,86.14,84.56,84.1,83.68,82.11895547,81.7178658
14-150-HH,100,99.29,98.96,98.01,97.57,97.18,96.31,103.88,102.85,101.59,100.92,100.14,98.27,97.59,96.8,95.74,95.44,95.15,94.21521339,93.91731098
27-171-GB,100,99.28,98.96,98.05,97.59,97.22,96.49,101.73,100.88,99.85,99.28,98.56,96.9,96.31,95.62,94.7,94.44,94.22,93.47028658,93.19341623
13-127-HH,100,98.65,98.02,96.4,95.62,94.96,93.64,100.79,99.42,97.68,96.69,95.46,92.47,91.34,90.12,88.4,87.89,87.48,86.12422395,85.6464827
56-179-GG,100,99.2,98.79,97.75,97.21,96.78,95.92,103.78,102.91,101.76,101.1,100.29,98.64,98.02,97.25,96.22,95.93,95.65,94.73784596,94.41176471
8-133-HB,100,99.09,98.59,97.23,96.59,95.96,94.76,108.72,107.5,106.03,105.17,104.06,101.07,99.94,98.63,97.06,96.58,96.15,94.79945163,94.34808581
24-169-GB,100,99.38,99.1,98.3,97.91,97.56,96.89,100.83,100.27,99.41,98.93,98.32,96.99,96.47,95.87,95.05,94.82,94.6,93.851257,93.57670485
21-183-GG,100,99.18,98.74,97.7,97.22,96.81,95.99,107.72,106.65,105.39,104.71,103.85,101.92,101.18,100.34,99.26,98.94,98.6,97.60654215,97.27506528
49-140-HB,100,99.29,98.93,97.99,97.52,97.13,96.34,103.22,102.41,101.32,100.72,99.93,98.29,97.66,96.9,95.96,95.69,95.43,94.57520225,94.27653479
12-141-HH,100,99.36,99.07,98.21,97.81,97.47,96.77,103.06,102.13,101.01,100.37,99.59,97.98,97.38,96.67,95.73,95.46,95.2,94.39214999,93.8819611
