Mesocosm,Lysate pH,Temperature (oC),Date,Rainfall Intensity (ml),Habitat,Bracken,Field soil pH
Rainfall 1,6.61,19.0,15/10/2025,,Rainfall,,
Rainfall 2,6.56,19.0,16/10/2025,,Rainfall,,
Rainfall 3,6.66,19.0,16/10/2025,,Rainfall,,
4-130-HB,3.81,19.0,16/10/2025,613,Heathland,Present,3.55
14-150-HH,4.23,19.0,16/10/2025,695,Heathland,Absent,3.66
27-171-GB,3.94,19.0,16/10/2025,858,Grassland,Present,3.59
13-127-HH,4.34,19.0,15/10/2025,776,Heathland,Absent,3.82
56-179-GG,4.66,19.0,16/10/2025,858,Grassland,Absent,4.14
8-133-HB,3.63,19.0,15/10/2025,940,Heathland,Present,3.83
24-169-GB,4.5,19.0,16/10/2025,613,Grassland,Present,4.01
21-183-GG,5.08,19.0,15/10/2025,940,Grassland,Absent,4.28
49-140-HB,3.07,19.0,15/10/2025,695,Heathland,Present,3.44
12-141-HH,4.31,19.0,15/10/2025,858,Heathland,Absent,3.51
33-170-GB,4.33,19.0,15/10/2025,776,Grassland,Present,3.69
39-173-GG,4.81,19.0,15/10/2025,613,Grassland,Absent,4.28
48-131-HB,3.91,19.0,15/10/2025,776,Heathland,Present,3.45
46-126-HH,4.41,19.0,15/10/2025,940,Heathland,Absent,3.52
41-157-GG,4.88,19.0,15/10/2025,695,Grassland,Absent,4.11
25-174-GB,4.97,19.0,15/10/2025,695,Grassland,Present,4.28
42-144-HB,4.57,19.0,15/10/2025,940,Heathland,Present,3.47
10-129-HH,4.64,19.0,15/10/2025,695,Heathland,Absent,3.42
17-166-GB,4.02,19.0,15/10/2025,613,Grassland,Present,4.02
30-155-GG,4.59,19.0,15/10/2025,776,Grassland,Absent,4.15
32-123-HB,4.32,19.0,15/10/2025,695,Heathland,Present,3.79
16-128-HH,3.73,19.0,15/10/2025,858,Heathland,Absent,3.42
54-164-GB,6.69,19.0,15/10/2025,940,Grassland,Present,4.97
50-160-GG,6.1,19.0,15/10/2025,776,Grassland,Absent,4.44
53-149-HB,3.76,19.0,16/10/2025,858,Heathland,Present,4.01
23-146-HH,4.9,19.0,15/10/2025,776,Heathland,Absent,3.38
45-161-GB,5.53,19.0,16/10/2025,858,Grassland,Present,4.25
36-178-GG,5.55,19.0,16/10/2025,858,Grassland,Absent,3.97
2-138-HB,3.74,19.0,16/10/2025,613,Heathland,Present,3.56
5-139-HH,5.12,19.0,16/10/2025,613,Heathland,Absent,3.42
18-167-GB,4.08,19.0,16/10/2025,776,Grassland,Present,3.71
43-180-GG,5.46,19.0,16/10/2025,613,Grassland,Absent,7.88
29-148-HB,2.97,19.0,15/10/2025,858,Heathland,Present,3.62
19-147-HH,4.25,19.0,16/10/2025,940,Heathland,Absent,3.43
38-156-GB,5.68,19.0,16/10/2025,695,Grassland,Present,5.37
59-172-GG,5.96,19.0,16/10/2025,695,Grassland,Absent,4.82
9-134-HB,3.65,19.0,16/10/2025,776,Heathland,Present,4.27
7-136-HH,5.93,19.0,16/10/2025,940,Heathland,Absent,3.62
15-154-GB,5.63,19.0,16/10/2025,940,Grassland,Present,4.55
35-182-GG,4.52,19.0,15/10/2025,776,Grassland,Absent,3.97
1-137-HB,3.78,19.0,16/10/2025,940,Heathland,Present,3.44
6-125-HH,4.57,19.0,16/10/2025,613,Heathland,Absent,3.41
26-159-GB,3.81,19.0,16/10/2025,940,Grassland,Present,3.68
34-163-GG,5.38,19.0,16/10/2025,695,Grassland,Absent,4.17
55-124-HB,3.77,19.0,16/10/2025,858,Heathland,Present,3.57
51-132-HH,3.78,19.0,15/10/2025,695,Heathland,Absent,3.29
28-176-GB,5.21,19.0,16/10/2025,613,Grassland,Present,4.48
58-162-GG,5.81,19.0,16/10/2025,858,Grassland,Absent,4.63
47-145-HB,4.02,19.0,15/10/2025,613,Heathland,Present,3.7
44-153-HH,3.88,19.0,15/10/2025,776,Heathland,Absent,3.46
60-168-GB,4.76,19.0,15/10/2025,695,Grassland,Present,4.02
37-181-GG,4.62,19.0,15/10/2025,613,Grassland,Absent,4.18
57-152-HB,4.17,19.0,15/10/2025,776,Heathland,Present,3.46
3-135-HH,5.24,19.0,15/10/2025,858,Heathland,Absent,3.55
40-158-GB,4.55,19.0,15/10/2025,858,Grassland,Present,4.41
22-165-GG,5.16,19.0,15/10/2025,940,Grassland,Absent,4.4
52-151-HB,3.86,19.0,15/10/2025,695,Heathland,Present,3.63
11-142-HH,3.81,19.0,15/10/2025,613,Heathland,Absent,3.39
20-177-GB,4.16,19.0,15/10/2025,776,Grassland,Present,3.69
