sample_id,start_time,end_time,CO2_slope,CO2_r2,CO2_adj_r2,CO2_p_value,CH4_slope,CH4_r2,CH4_adj_r2,CH4_p_value,Habitat,Bracken,Headspace height (cm),Headspace volume (m3),Chamber volume (m3),Tube internal diameter  (m),Tube length (m),Tube volume (m3),White plastic fitting internal volume (m3),Los Gatos internal volume (ml),V (m3),V (L) no rhizons,Rhizon volume (L),V (L),p (atm),A (m2),R (L atm mol-1 K-1),T (K),Rack,Rainfall mix,Rainfall volume (ml),CO2 flux (micromol CO2 per s per m2),CH4 flux (nmol CH4 per s per m2)
4-130-HB,2025-09-29T16:34:41Z,2025-09-29T16:36:25Z,0.05495467214198527,0.9002454691134271,0.8992954259621264,2.2732406345599013e-54,-8.377049579687702e-5,0.15947246305010973,0.1514674388886823,2.0355000739616187e-5,Heathland,Present,5.5,4.49421e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001486465,1.486464949,0.0025,1.483964949,1,0.008171282,0.082058,288,1,1,613,0.4230149146357556,-0.6448254124227171
14-150-HH,2025-09-29T16:38:51Z,2025-09-29T16:40:38Z,0.20568779550812769,0.9879911887690368,0.987879996072454,1.5128621359161909e-105,-3.1811390212516925e-5,0.03951104084342808,0.03061762455494121,0.03736406795777472,Heathland,Absent,3,2.45138e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001282183,1.282182886,0.0025,1.279682886,1,0.008171282,0.082058,288,1,1,695,1.365698666023674,-0.2112170684228867
27-171-GB,2025-09-29T16:48:13Z,2025-09-29T16:49:50Z,0.2255852528115259,0.9908985645105148,0.9908056927198056,8.008469606748982e-102,-9.055691688904154e-5,0.31494373098682066,0.3079533608948495,1.2522714631485414e-9,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,858,1.5455385262995407,-0.6204270985384567
13-127-HH,2025-09-29T16:51:42Z,2025-09-29T16:53:05Z,0.1367493047620627,0.981955065431252,0.9817376565810262,3.8344114588284316e-74,-2.8311736296562153e-5,0.04405097923582854,0.03253352115433261,0.05386638602813214,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,776,0.9658344154909504,-0.19996042630784905
56-179-GG,2025-09-29T16:54:37Z,2025-09-29T16:56:12Z,0.5874348400483246,0.9959190159514172,0.995876505700911,1.687556755959076e-116,-2.1945225155836532e-5,0.04458219869161769,0.03462992992798863,0.0368880808364109,Grassland,Absent,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,858,4.02465660174975,-0.15035198677193964
8-133-HB,2025-09-29T16:57:42Z,2025-09-29T16:59:25Z,0.23618075670639385,0.9954808005944488,0.9954369248720648,1.3523827443153678e-122,-1.715338872193758e-4,0.8059585512302706,0.8040746536693995,1.848791341519694e-38,Heathland,Present,2.5,2.04282e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001241326,1.241326474,0.0025,1.238826474,1,0.008171282,0.082058,288,1,1,940,1.518192750449086,-1.1026364199372445
24-169-GB,2025-09-29T17:01:00Z,2025-09-29T17:02:35Z,0.2110197233840104,0.9945891384618664,0.9945327753208442,1.2811964283737115e-110,-2.1411570291069484e-4,0.8927169705874297,0.8915994390310488,2.5076965113485822e-48,Grassland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,613,1.4903923025150116,-1.512258618996328
21-183-GG,2025-09-29T17:04:00Z,2025-09-29T17:05:35Z,0.3214007121410929,0.9971384827284624,0.9971083614940252,1.2614570341078406e-122,-6.088606897093282e-5,0.3593057854943548,0.3525616358679796,8.759172593173054e-11,Grassland,Absent,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001404752,1.404752124,0.0025,1.402252124,1,0.008171282,0.082058,288,1,1,940,2.337991446332545,-0.44290850355167555
49-140-HB,2025-09-29T17:07:01Z,2025-09-29T17:08:36Z,0.3836749756829965,0.998023851334118,0.998003049769214,2.9092947019023535e-130,-1.8004390792811893e-4,0.8569625576074492,0.8554569003191066,6.738647520413643e-42,Heathland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,695,2.6286490322598475,-1.233523879155888
12-141-HH,2025-09-29T17:10:00Z,2025-09-29T17:11:35Z,0.16994303893859772,0.9914260932278064,0.9913358415775728,5.492340708830025e-100,-5.277434170876952e-6,0.00488782262067687,-0.00558704240436869,0.49620698994901746,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,858,1.200275467327652,-0.03727351708726906
