sample_id,start_time,end_time,slope_ppm_per_sec,r2,adj_r2,p_value,Habitat,Bracken,Headspace height (cm),Headspace volume (m3),Chamber volume (m3),Tube internal diameter  (m),Tube length (m),Tube volume (m3),White plastic fitting internal volume (m3),Los Gatos internal volume (ml),V (m3),V (L),p (atm),A (m2),R (L atm mol-1 K-1),T (K),CO2 flux (micromol CO2 per s per m2)
4-130-HB,2025-10-01T14:48:55Z,2025-10-01T14:50:30Z,0.04615830172865794,0.9072988027829876,0.906333165311977,2.241006651168112e-51,Heathland,Present,5.5,4.49421e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001486465,1.486464949,1,0.008171282,0.082058,288,0.3553046411601121
14-150-HH,2025-10-01T14:45:35Z,2025-10-01T14:47:10Z,0.14401397747934877,0.9810173773721947,0.980817560291902,1.3738225062390427e-83,Heathland,Absent,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,0.9562049923595897
27-171-GB,2025-10-01T14:42:05Z,2025-10-01T14:43:40Z,0.1591551553474996,0.9866994574490294,0.9865594517379666,6.288934566514325e-91,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,1.0904100387017013
13-127-HH,2025-10-01T14:38:45Z,2025-10-01T14:40:20Z,0.12581692994274282,0.9844441935871858,0.9842804482565246,1.0719247455203218e-87,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,0.8886211246305855
56-179-GG,2025-10-01T14:35:25Z,2025-10-01T14:37:00Z,0.43267772996145154,0.9978119716562199,0.997788939778917,3.6721130791441787e-128,Grassland,Absent,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,2.9643786231272884
8-133-HB,2025-10-01T14:32:10Z,2025-10-01T14:33:45Z,0.19745452873781918,0.9937739331405766,0.9937083955946879,1.3753654423636474e-106,Heathland,Present,2.5,2.04282e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001241326,1.241326474,1,0.008171282,0.082058,288,1.2692568109846452
24-169-GB,2025-10-01T14:28:18Z,2025-10-01T14:29:53Z,0.12905959829143246,0.9767650499079356,0.9765204714859138,2.0354795448035964e-79,Grassland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,0.9115234764534119
21-183-GG,2025-10-01T14:24:45Z,2025-10-01T14:26:30Z,0.26051786369022,0.9942789630824482,0.9942244770165668,1.4419769055196095e-119,Grassland,Absent,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,1.8951063700729331
49-140-HB,2025-10-01T14:21:37Z,2025-10-01T14:23:12Z,0.300826513174615,0.9894115685215622,0.9893001113481049,1.240799055152221e-95,Heathland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,2.0610343985215
12-141-HH,2025-10-01T14:17:55Z,2025-10-01T14:19:35Z,0.15305164898858237,0.9895520907035718,0.9894486460570725,7.276540419312333e-102,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,1.080974782270504
33-170-GB,2025-10-01T14:14:10Z,2025-10-01T14:16:00Z,0.28346611032035024,0.9953121687081702,0.9952699359938294,4.1519032670786336e-131,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,1.9420941260128008
39-173-GG,2025-10-01T14:10:58Z,2025-10-01T14:12:33Z,0.22168978388011054,0.986753757736392,0.986615776046146,5.928692467845995e-92,Grassland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,1.5657529170383182
48-131-HB,2025-10-01T14:07:05Z,2025-10-01T14:09:20Z,0.05376752529690217,0.872511706804307,0.8715742928837504,1.085197705613787e-62,Heathland,Present,6,4.90277e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001527321,1.527321361,1,0.008171282,0.082058,288,0.4252524845961401
46-126-HH,2025-10-01T14:03:42Z,2025-10-01T14:05:17Z,0.09796586820509194,0.9791382257169939,0.9789186280929623,1.2178731552148882e-81,Heathland,Absent,4.66,3.80782e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001417826,1.417826176,1,0.008171282,0.082058,288,0.7192736781303625
41-157-GG,2025-10-01T14:00:15Z,2025-10-01T14:01:50Z,0.42013751534508875,0.9959185518178801,0.9958755892054367,2.66983104314242e-115,Grassland,Absent,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,2.789573600299566
25-174-GB,2025-10-01T13:56:55Z,2025-10-01T13:58:30Z,0.22936989790028828,0.9492733536510926,0.948739388952683,2.6406935171777854e-63,Grassland,Present,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,1.6685241789434064
42-144-HB,2025-10-01T13:52:58Z,2025-10-01T13:54:45Z,0.4005386848916696,0.9976486289587073,0.9976266535284148,1.7882063271360125e-142,Heathland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,2.8289287998719064
10-129-HH,2025-10-01T13:49:50Z,2025-10-01T13:51:25Z,0.12782467221225738,0.9427538327523337,0.9421575185101705,1.9680384060362197e-61,Heathland,Absent,2,1.63426e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.00120047,1.200470061,1,0.008171282,0.082058,288,0.7946253340336443
17-166-GB,2025-10-01T13:46:40Z,2025-10-01T13:48:15Z,0.07311234562640652,0.947493017685571,0.946940312608577,1.3605356685232056e-62,Grassland,Present,5,4.08564e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001445609,1.445608536,1,0.008171282,0.082058,288,0.547315575105715
30-155-GG,2025-10-01T13:43:10Z,2025-10-01T13:44:45Z,0.29565295641777617,0.9928688523976906,0.9927937876860874,8.680205852669219e-104,Grassland,Absent,3.83,3.1296e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001350005,1.350004531,1,0.008171282,0.082058,288,2.066873219096061
