sample_id,start_time,end_time,slope_ppm_per_sec,r2,adj_r2,p_value,Habitat,Bracken,Headspace height (cm),Headspace volume (m3),Chamber volume (m3),Tube internal diameter  (m),Tube length (m),Tube volume (m3),White plastic fitting internal volume (m3),Los Gatos internal volume (ml),V (m3),V (L),p (atm),A (m2),R (L atm mol-1 K-1),T (K),CH4 flux (nmol CH4 per s per m2)
4-130-HB,2025-09-29T16:34:41Z,2025-09-29T16:36:25Z,-8.377049579687702e-5,0.15947246305010973,0.1514674388886823,2.0355000739616187e-5,Heathland,Present,5.5,4.49421e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001486465,1.486464949,1,0.008171282,0.082058,288,-0.6448254124227171
14-150-HH,2025-09-29T16:38:51Z,2025-09-29T16:40:38Z,-3.1811390212516925e-5,0.03951104084342808,0.030617624554941214,0.03736406795777472,Heathland,Absent,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,-0.2112170684228867
27-171-GB,2025-09-29T16:48:13Z,2025-09-29T16:49:50Z,-9.055691688904154e-5,0.31494373098682066,0.3079533608948495,1.2522714631485414e-9,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,-0.6204270985384567
13-127-HH,2025-09-29T16:51:42Z,2025-09-29T16:53:05Z,-2.8311736296562153e-5,0.04405097923582854,0.03253352115433261,0.053866386028132145,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,-0.19996042630784902
56-179-GG,2025-09-29T16:54:37Z,2025-09-29T16:56:12Z,-2.1945225155836532e-5,0.04458219869161769,0.034629929927988634,0.0368880808364109,Grassland,Absent,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,-0.15035198677193964
8-133-HB,2025-09-29T16:57:42Z,2025-09-29T16:59:25Z,-1.715338872193758e-4,0.8059585512302706,0.8040746536693995,1.848791341519694e-38,Heathland,Present,2.5,2.04282e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001241326,1.241326474,1,0.008171282,0.082058,288,-1.1026364199372445
24-169-GB,2025-09-29T17:01:00Z,2025-09-29T17:02:35Z,-2.1411570291069484e-4,0.8927169705874297,0.8915994390310488,2.5076965113485825e-48,Grassland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,-1.5122586189963279
21-183-GG,2025-09-29T17:04:00Z,2025-09-29T17:05:35Z,-6.088606897093282e-5,0.3593057854943548,0.3525616358679796,8.759172593173055e-11,Grassland,Absent,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,-0.44290850355167555
49-140-HB,2025-09-29T17:07:01Z,2025-09-29T17:08:36Z,-1.8004390792811893e-4,0.8569625576074492,0.8554569003191066,6.738647520413644e-42,Heathland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,-1.233523879155888
12-141-HH,2025-09-29T17:10:00Z,2025-09-29T17:11:35Z,-5.277434170876952e-6,0.004887822620676879,-0.005587042404368692,0.49620698994901746,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,-0.03727351708726906
