sample_id,start_time,end_time,slope_ppm_per_sec,r2,adj_r2,p_value,Habitat,Bracken,Headspace height (cm),Headspace volume (m3),Chamber volume (m3),Tube internal diameter  (m),Tube length (m),Tube volume (m3),White plastic fitting internal volume (m3),Los Gatos internal volume (ml),V (m3),V (L),p (atm),A (m2),R (L atm mol-1 K-1),T (K),CO2 flux (micromol CO2 per s per m2)
4-130-HB,2025-09-29T16:34:41Z,2025-09-29T16:36:25Z,0.05495467214198527,0.9002454691134271,0.8992954259621264,2.2732406345599016e-54,Heathland,Present,5.5,4.49421e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001486465,1.486464949,1,0.008171282,0.082058,288,0.4230149146357556
14-150-HH,2025-09-29T16:38:51Z,2025-09-29T16:40:38Z,0.20568779550812766,0.9879911887690369,0.9878799960724539,1.512862135916191e-105,Heathland,Absent,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,1.365698666023674
27-171-GB,2025-09-29T16:48:13Z,2025-09-29T16:49:50Z,0.2255852528115259,0.9908985645105147,0.9908056927198057,8.008469606748982e-102,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,1.5455385262995407
13-127-HH,2025-09-29T16:51:42Z,2025-09-29T16:53:05Z,0.1367493047620627,0.9819550654312521,0.9817376565810262,3.834411458828432e-74,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,0.9658344154909503
56-179-GG,2025-09-29T16:54:37Z,2025-09-29T16:56:12Z,0.5874348400483246,0.9959190159514171,0.995876505700911,1.687556755959076e-116,Grassland,Absent,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,4.02465660174975
8-133-HB,2025-09-29T16:57:42Z,2025-09-29T16:59:25Z,0.23618075670639385,0.9954808005944487,0.9954369248720647,1.3523827443153678e-122,Heathland,Present,2.5,2.04282e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001241326,1.241326474,1,0.008171282,0.082058,288,1.518192750449086
24-169-GB,2025-09-29T17:01:00Z,2025-09-29T17:02:35Z,0.2110197233840104,0.9945891384618664,0.9945327753208442,1.2811964283737115e-110,Grassland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,1.4903923025150116
21-183-GG,2025-09-29T17:04:00Z,2025-09-29T17:05:35Z,0.3214007121410929,0.9971384827284624,0.9971083614940252,1.2614570341078406e-122,Grassland,Absent,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,2.337991446332545
49-140-HB,2025-09-29T17:07:01Z,2025-09-29T17:08:36Z,0.3836749756829965,0.998023851334118,0.998003049769214,2.909294701902354e-130,Heathland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,2.6286490322598475
12-141-HH,2025-09-29T17:10:00Z,2025-09-29T17:11:35Z,0.16994303893859772,0.9914260932278065,0.9913358415775729,5.492340708830025e-100,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,1.2002754673276521
33-170-GB,2025-09-29T17:13:00Z,2025-09-29T17:14:35Z,0.32945439696624507,0.9974194858935055,0.9973926055382295,4.700266703790846e-126,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,2.2571708780783313
39-173-GG,2025-09-29T17:16:25Z,2025-09-29T17:18:00Z,0.3429066155041946,0.9980261112395818,0.9980055498983275,1.2178172789604414e-131,Grassland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,2.4218844193009277
48-131-HB,2025-09-29T17:19:25Z,2025-09-29T17:21:00Z,0.1624444479477116,0.9912029466199144,0.9911103460580187,1.861369848837186e-99,Heathland,Present,6,4.90277e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001527321,1.527321361,1,0.008171282,0.082058,288,1.2847886287709203
46-126-HH,2025-09-29T17:22:20Z,2025-09-29T17:23:55Z,0.12056221295166522,0.9840648040884753,0.9838970651841434,3.367657522467759e-87,Heathland,Absent,4.66,3.80782e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001417826,1.417826176,1,0.008171282,0.082058,288,0.8851779496481101
41-157-GG,2025-09-29T17:25:26Z,2025-09-29T17:27:01Z,0.5859469891679309,0.9991049615465022,0.999095540089097,1.3323131361577682e-146,Grassland,Absent,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,3.890493451448415
25-174-GB,2025-09-29T17:28:25Z,2025-09-29T17:29:08Z,0.23743122750980578,0.9802878689659832,0.9798185325127923,1.9109997162697267e-37,Grassland,Present,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,1.727165367220691
42-144-HB,2025-09-29T17:30:25Z,2025-09-29T17:32:00Z,0.4426908465068724,0.9986077856267914,0.9985931307386524,1.7309003125881065e-137,Heathland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,3.126641526427529
10-129-HH,2025-09-29T17:33:27Z,2025-09-29T17:37:00Z,0.12321971412900541,0.9962996026374146,0.9962824711681434,1.2759431689356598e-264,Heathland,Absent,2,1.63426e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.00120047,1.200470061,1,0.008171282,0.082058,288,0.7659984946935929
17-166-GB,2025-09-29T17:38:37Z,2025-09-29T17:40:00Z,0.13407324782438435,0.9888560107531115,0.9887217458224261,7.864248736591822e-83,Grassland,Present,5,4.08564e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001445609,1.445608536,1,0.008171282,0.082058,288,1.0036660171492384
30-155-GG,2025-09-29T17:41:25Z,2025-09-29T17:43:00Z,0.40581039928398177,0.9986566205127688,0.9986424796760611,3.174388887813132e-138,Grassland,Absent,3.83,3.1296e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001350005,1.350004531,1,0.008171282,0.082058,288,2.8369702656567477
32-123-HB,2025-09-29T17:44:25Z,2025-09-29T17:46:00Z,0.08865587820616072,0.9792900605796355,0.9790720612173159,8.607547869882033e-82,Heathland,Present,6,4.90277e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001527321,1.527321361,1,0.008171282,0.082058,288,0.7011877945477025
16-128-HH,2025-09-29T17:48:25Z,2025-09-29T17:50:00Z,0.15030189260506285,0.9889400275212947,0.988823606758361,9.831449719033375e-95,Heathland,Absent,4.75,3.88136e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.00142518,1.42518033,1,0.008171282,0.082058,288,1.1092531093441889
54-164-GB,2025-09-29T17:51:25Z,2025-09-29T17:53:00Z,0.37712489782316044,0.998576950706807,0.9985619712405628,4.89988161705321e-137,Grassland,Present,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,2.5039841017745412
50-160-GG,2025-09-29T17:54:20Z,2025-09-29T17:56:00Z,0.4030188546303482,0.9990276468710736,0.9990179233397843,1.9600278776173343e-152,Grassland,Absent,4.25,3.4728e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001384324,1.384323917,1,0.008171282,0.082058,288,2.8890793658808396
53-149-HB,2025-09-29T17:57:25Z,2025-09-29T17:59:00Z,0.2394592951648142,0.9952527442310258,0.995203293650099,2.398457058478925e-113,Heathland,Present,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,1.741918305378189
23-146-HH,2025-09-29T18:00:25Z,2025-09-29T18:02:00Z,0.10748283174090792,0.9832994789382268,0.9831236839796818,3.127465343910583e-86,Heathland,Absent,8,6.53703e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001690747,1.690747011,1,0.008171282,0.082058,288,0.9410530659206674
45-161-GB,2025-09-29T18:03:25Z,2025-09-29T18:05:08Z,0.17539700178183149,0.9928454699501378,0.992776008493343,2.552254608530328e-112,Grassland,Present,4.25,3.4728e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001384324,1.384323917,1,0.008171282,0.082058,288,1.2573502526328104
